site,mse,rmse,r2_score,relative_error,mae
US-Wkg,4.020186e-05,0.0063404934,0.5409085750579834,0.0066437665,0.003425166
US-xAE,7.280995e-05,0.008532874,0.7463061809539795,0.008763089,0.0045720055
US-xBR,0.0001891891,0.0137546025,0.8633712530136108,0.0143867135,0.0077380766
US-xCL,0.00012199269,0.01104503,0.8674198389053345,0.011418614,0.006110358
US-xCP,4.510653e-05,0.0067161396,0.5231585502624512,0.0069290707,0.0035705774
US-xDC,8.429766e-05,0.009181376,0.7646408081054688,0.007923571,0.004195016
US-xDL,0.0004610018,0.021470953,0.7917791604995728,0.023098186,0.012740708
US-xDS,0.00023622072,0.015369474,0.628017783164978,0.01795109,0.009598596
US-xGR,0.00045825433,0.021406876,0.8167457580566406,0.024393624,0.013386485
US-xHA,0.00027494805,0.016581558,0.8568571209907532,0.018192384,0.009908538
US-xHE,0.00022659362,0.015053027,-0.6246217489242554,0.014273474,0.007489236
US-xJE,0.00029176695,0.017081186,0.8237073421478271,0.01888129,0.010211161
US-xKA,0.00038149557,0.019531911,0.4945105910301208,0.018285668,0.009814971
US-xKZ,0.00013302387,0.0115335975,0.8575074076652527,0.011191893,0.006040644
US-xMB,1.5751788e-05,0.003968852,-0.800851583480835,0.004876116,0.002457585
US-xML,0.00038734736,0.019681143,0.40112966299057,0.02187339,0.011512821
US-xNG,8.211144e-05,0.009061536,0.6896388530731201,0.008660991,0.004531808
US-xNQ,1.52559805e-05,0.0039058905,0.3317885398864746,0.004477955,0.0022630875
US-xRM,4.3608605e-05,0.006603681,0.8194200396537781,0.0070667,0.0036869645
US-xSB,0.00012465067,0.011164706,0.81662917137146,0.012660455,0.0067509753
US-xSE,0.00029617932,0.017209861,0.8159647583961487,0.018069798,0.009811068
US-xSR,2.1744789e-05,0.0046631307,0.3973687291145324,0.0047571366,0.0024159942
US-xST,0.000102578735,0.010128116,0.9236189723014832,0.009906035,0.005412792
US-xTA,0.00027893152,0.016701244,0.8092182874679565,0.018866112,0.010195094
US-xTR,0.0001574105,0.012546334,0.8680239915847778,0.013100915,0.0070100874
US-xUK,0.00021407609,0.014631339,0.8571591377258301,0.014366404,0.0078357095
US-xUN,0.000120623765,0.010982885,0.8857091069221497,0.010687246,0.005733094
US-xYE,4.3520486e-05,0.0065970058,0.8496232032775879,0.006825923,0.0035697387
ZM-Mon,0.0001883924,0.013725611,0.8256960511207581,0.015907304,0.008729332
