site,ensemble_mse_scaled,full_mse_scaled,G_hat_count,O_hat_count,ensemble_rmse
IT-CA3,0.0323744373061836,0.032514963,257,52,0.17992897850591938
IT-Col,0.0021229441940549,0.0021411662,257,52,0.0460754185445439
IT-Cp2,0.0054141692844354,0.0055334577,257,52,0.07358103889206376
IT-Cpz,0.0036643631134157,0.0036854495,259,52,0.0605339831286171
IT-Isp,0.0018466948381422,0.0018120139,257,52,0.042973187432888894
IT-La2,0.0012426784687822,0.0012352702,257,52,0.035251644908886166
IT-Lav,0.0022217524807223,0.002220035,257,52,0.047135469454777895
IT-Lsn,0.0035479839217096,0.0036060226,257,52,0.059564955483149655
IT-MBo,0.0015660227140758,0.0015764198,257,52,0.03957300486538519
IT-Noe,0.0023957453054644,0.0024934344,257,52,0.048946351298788354
IT-PT1,0.0043389664678127,0.0044460283,259,52,0.06587083169212835
IT-Ren,0.001619818661354,0.0016478376,257,52,0.04024697083451126
IT-Ro1,0.0035151443290096,0.0035665643,257,52,0.05928865261590619
IT-Ro2,0.002392773382711,0.0024877912,257,52,0.04891598289629883
IT-SR2,0.0020155461152483,0.0020640776,257,52,0.044894833948331964
IT-SRo,0.0026857771349237,0.002672246,257,52,0.05182448393301857
IT-Tor,0.0004376264085697,0.00044140095,257,52,0.020919522187891865
JP-SMF,0.0056836719769946,0.0057697752,257,52,0.07539013182767755
MX-Tes,0.0011180805589798,0.0011309041,257,52,0.033437711628934774
MY-PSO,0.0039433461973262,0.0039536348,257,52,0.0627960683269757
NL-Hor,0.0026477687251137,0.0026521077,259,52,0.051456474083575725
NL-Loo,0.002006857246059,0.0020138973,257,52,0.044797960289046646
PA-SPn,0.0020814259528679,0.00207404,259,52,0.04562264736803313
PA-SPs,0.0022656191447341,0.0025465002,259,52,0.04759852040488339
RU-Che,0.0031013019623633,0.0032461185,257,52,0.05568933436811128
RU-Cok,0.0055138727406198,0.0061620143,257,52,0.07425545596533496
RU-Fy2,0.0010309855302276,0.0010493502,257,52,0.03210896339385001
RU-Fyo,0.002342381915243,0.002320803,257,52,0.04839816024647011
RU-Ha1,0.0010410715807164,0.0010435679,259,52,0.03226564086945121
SD-Dem,0.0029907505231412,0.0030651428,259,52,0.05468775478241176
SE-Deg,0.0002414994602894,0.00022658252,257,52,0.015540252903006436
SE-Htm,0.0019605068547663,0.0019425295,257,52,0.04427761121341462
SE-Lnn,0.0016703639970637,0.0017476149,259,52,0.04087008682476342
SE-Nor,0.0009869710829162,0.0009948054,257,52,0.03141609592097974
SE-Ros,0.0008091542748018,0.0008106819,259,52,0.028445637183965488
SE-Svb,0.0014480424912509,0.0014781685,257,52,0.0380531534994263
SJ-Adv,0.00010689611116,0.00010346008,257,52,0.01033905755666347
US-A32,0.0021417108233105,0.0021903056,257,52,0.04627862166606196
US-AR1,0.0008600430768528,0.0008745852,257,52,0.0293264910422778
US-AR2,0.0015056313019582,0.0015295071,257,52,0.038802465153108506
US-ARM,0.0019888401143741,0.0019829362,257,52,0.044596413694086436
US-ARb,0.0060533581809324,0.0059407977,259,52,0.07780333014037638
US-ARc,0.0070584938708679,0.006925942,259,52,0.08401484315802714
US-Atq,0.0029610616398778,0.0030287663,259,52,0.054415637824781586
US-BZB,0.0003638970494687,0.00036877603,257,52,0.019076085800517357
US-BZF,0.0007242086316871,0.0007363635,257,52,0.026911124682686527
US-BZS,0.0012907220737801,0.0012949291,259,52,0.0359266206841125
US-BZo,0.0013334640778307,0.001355845,259,52,0.03651662741588686
US-Bi1,0.0096230733938023,0.009578444,257,52,0.09809726496596273
US-Bi2,0.002400123078795,0.0023183036,257,52,0.0489910510072503
