site,mse,rmse,r2_score,relative_error,mae
CN-Cha,0.0062589582605564,0.0791135782312771,0.7076377202923188,0.1770019069291851,0.0581669967285455
CN-Cng,0.0034538474593792,0.0587694432454421,0.6005828318084714,0.1608666468596788,0.0359605041083329
CN-Dan,0.0043899179029437,0.066256455556751,0.6316040578225768,0.1699025190666377,0.0493971744764912
CN-Din,0.0045273447493338,0.0672855463627503,0.8454174864983667,0.1175562407686727,0.044130462384125
CN-Du2,0.0027586427641781,0.0525227832866669,0.4977260148518728,0.1132032335397937,0.0371568189620008
CN-Du3,0.0021657363737471,0.0465374727907215,0.4059728851477205,0.1034888689774045,0.0330903026693075
CN-Ha2,0.0103355822330277,0.101664065593639,0.6868938900460095,0.2252820269483592,0.0697726029080536
CN-HaM,0.0135677046086254,0.1164804902489057,0.3614313635681138,0.4719286769592987,0.0841490146739942
CN-Qia,0.0027920231065176,0.0528395979026869,0.8331636016898817,0.1053701559916457,0.0373150592141258
CN-Sw2,0.0018018990862878,0.0424487819175982,-0.0092916553669455,0.0624875729240673,0.0279516064373563
CZ-BK1,0.0020946353461231,0.0457671863470235,0.7671439842299458,0.0579700438736644,0.0292446430116307
CZ-BK2,0.005903426695915,0.076833760131306,0.4973051923706,0.2814617505316067,0.0521501866547251
CZ-KrP,0.0031805921185877,0.0563967385456618,0.6336170771784824,0.068394194524258,0.0362301766203511
CZ-Lnz,0.0031631039108775,0.0562414785623342,0.7473899513625073,0.1115260135162152,0.0415497148329333
CZ-RAJ,0.0029851288758712,0.0546363329284762,0.8442068283931619,0.1138578802190772,0.0376961729102858
CZ-Stn,0.0023580317941042,0.0485595695419987,0.7226675772259132,0.1039734678351058,0.0355368555578028
CZ-wet,0.0046178043025047,0.0679544281302167,0.7310891262546285,0.1443450398116703,0.0487590929469607
DE-Geb,0.0025620723802414,0.0506169179251503,0.5224951069832213,0.0697473034597003,0.0308009258150503
DE-Gri,0.0024620254393868,0.0496188012691445,0.6737791931844241,0.0611037697272968,0.0305605131939524
DE-Hai,0.0047807998969417,0.0691433286510112,0.6225837113390468,0.1749233124988339,0.0509017795704122
DE-HoH,0.0028726935563256,0.0535975144603334,0.7664789003894011,0.1077421008795527,0.0391170961239159
DE-Hte,0.0011069018314394,0.0332701342263509,0.6897702554140626,0.0584811391745436,0.023290725337369
DE-Hzd,0.0021448970835015,0.046313033624473,0.6553845355648438,0.0600345610344705,0.0318811542542853
DE-Kli,0.0031033510929464,0.0557077292029252,0.5559483054184376,0.1031448533619699,0.0367876697360962
DE-Lkb,0.0053685184814515,0.0732701745695449,0.735124886660657,0.1850106491640933,0.0514409147073124
DE-Lnf,0.0046517233804612,0.068203543752955,0.7779987725266835,0.2135577172830854,0.0502260958876948
