test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,O_hat_count
FI-Let,0.0003259931602877,0.0003269106470343,0.0180552806759607,0.0180806705360822,0.654535373289978,0.6535630853556045,0.0229202737165188,0.0228983059346532,0.0123038620942893,0.0122969319736113,13
FI-Lom,0.0001507861000631,0.0001530750930458,0.0122794991780275,0.0123723519609601,0.2774160379835327,0.2664469259913105,0.0159552405164662,0.0160150092479185,0.0081399450798251,0.0081703961365375,13
FI-Qvd,0.0003617853422683,0.0003643549741494,0.0190206556739874,0.0190880846118579,0.6748433922861405,0.6725339212050876,0.0221727754988636,0.0221799926718152,0.0122127219845963,0.0122237373725576,13
FI-Sii,0.0001883806297461,0.0001910739479655,0.0137251823210537,0.0138229500456849,-1.200420149224008,-1.231880027482616,0.0194417902745604,0.0195993559673826,0.0099526761151646,0.010033255413248,13
FI-Sod,0.0001019241415265,0.0001017963897713,0.0100957486857863,0.0100894196944781,0.5946567199668296,0.5951647773781625,0.0134804723910457,0.0134779453802678,0.0069323502699024,0.0069313023516645,13
FI-Var,0.0001606893095311,0.0001600817373414,0.0126763287087043,0.0126523411802485,0.1072152922660009,0.1105909440837839,0.0205015181745861,0.0204186920578212,0.010441643512379,0.0103999545998613,13
FR-Aur,0.0006477011423326,0.000645570554373,0.0254499733267568,0.0254080804936741,0.4442091473606693,0.4460373999625272,0.027830575778849,0.0277265327962861,0.0152349828611108,0.0151774025481218,13
FR-Bil,0.0004604192077291,0.0004618271417364,0.0214573811945711,0.0214901638368908,0.6302648536076136,0.6291342259588287,0.0242897501624768,0.0243591689862951,0.0135898277356311,0.0136300549030611,13
FR-EM2,0.0016941175480049,0.0016838808249847,0.0411596592309133,0.0410351169729627,0.3398643781551708,0.3438532545613771,0.0354848214097971,0.0352033691063923,0.021084856217981,0.0209316078246279,13
FR-FBn,0.0002718592561972,0.0002698143999527,0.0164881550270876,0.0164260281246796,0.7018941366028653,0.7041364131573538,0.0215453775697789,0.0215235891071753,0.0116387669454507,0.0116223086513861,13
FR-Fon,0.000928779888215,0.0009311674443034,0.0304758902776455,0.0305150363641177,0.5652880921989231,0.5641706056175344,0.035412501216236,0.0353398722210805,0.0196518882429348,0.0196271581450415,13
FR-Gri,0.0008161549177211,0.0008125591402997,0.0285684251879784,0.028505422998085,0.4544903558399122,0.4568937368880658,0.0272027524098056,0.0271027241869412,0.0153577806772787,0.0153012155681572,26
FR-Hes,0.000914266636594,0.0009161528960752,0.030236842371419,0.0302680177097084,0.5882478520249399,0.5873983499629303,0.0375444426110245,0.0376517224847552,0.0206568632045229,0.0207109661418633,13
FR-LBr,0.0004399736513589,0.0004424125337563,0.0209755488929123,0.0210336048683131,0.6597074338973712,0.6578211083256935,0.0248761304794531,0.0249229740590029,0.0137789391511228,0.0138084026476942,13
FR-LGt,0.0002633893060887,0.0002666573892075,0.0162292731226247,0.0163296475530728,0.6387760781078038,0.6342940821650551,0.0234642117175541,0.0236505113466996,0.0122517855394462,0.0123480599987458,13
FR-Lam,0.0009901909571196,0.0009895246675154,0.0314672998066188,0.0314567110091864,0.3968734239564151,0.3972792618048837,0.0317080465876277,0.0316571030145195,0.0177852075052691,0.0177565818508336,13
FR-Mej,0.0009520216150077,0.0009488745477778,0.0308548475123081,0.0308038073584726,0.4768980728320205,0.478627274046505,0.0314493878040269,0.0315242693736183,0.0180037581447043,0.0180330650828813,13
FR-Pue,0.0002094498789046,0.0002084585329313,0.0144723833180536,0.0144380931196397,0.6123401497385231,0.6141749802649081,0.0192023177889249,0.0191757141263352,0.0100692683776906,0.0100561763530529,13
FR-Tou,0.0002960146551596,0.0002934718004188,0.0172050764357388,0.0171310186626133,0.5804774571541211,0.5840812817227953,0.0216538211641356,0.0215280102921591,0.0115978177312197,0.0115290648479158,13
GF-Guy,0.0016266373889552,0.0016192941566647,0.0403315929384793,0.0402404542303485,0.5600878716689459,0.5620737948793934,0.0566878946026083,0.056677611318691,0.0315284297068089,0.0314947582589813,13
GH-Ank,0.0015363515071194,0.0015386886079109,0.039196320071143,0.0392261214997222,0.5079436237753496,0.5071951066938098,0.046326069467759,0.0464211610758006,0.0260598271085547,0.0261087841330927,13
GL-NuF,0.0002091270478859,0.000210268063509,0.0144612256702504,0.0145006228662445,-0.7758314542403435,-0.7855205473243774,0.0198990426063679,0.0199595232182618,0.0101893330988728,0.0102201237142241,13
