,site,longitude,latitude,balanced_cluster
255,US-Wi5,-91.0858,46.6531,3
256,US-Wi6,-91.2982,46.6249,3
257,US-Wi7,-91.0693,46.6491,3
258,US-Wi8,-91.2524,46.7223,3
259,US-Wi9,-91.0814,46.6188,3
260,US-Wjs,-105.8615,34.4255,7
261,US-Wkg,-109.9419,31.7365,7
262,US-xAE,-99.0588,35.4106,8
263,US-xBR,-71.2873,44.0639,4
264,US-xCL,-97.57,33.4012,8
265,US-xCP,-104.7456,40.8155,7
266,US-xDC,-99.1066,47.1617,7
267,US-xDL,-87.8039,32.5417,8
268,US-xDS,-81.4362,28.125,9
269,US-xGR,-83.5019,35.689,8
270,US-xHA,-72.1727,42.5369,4
271,US-xHE,-149.2133,63.8757,7
272,US-xJE,-84.4686,31.1948,8
273,US-xKA,-96.6129,39.1104,8
274,US-xKZ,-96.5631,39.1008,8
275,US-xMB,-109.3883,38.2483,1
276,US-xML,-80.5248,37.3783,8
277,US-xNG,-100.9154,46.7697,8
278,US-xNQ,-112.4524,40.1776,1
279,US-xRM,-105.5459,40.2759,7
280,US-xSB,-81.9934,29.6893,6
281,US-xSE,-76.56,38.8901,8
282,US-xSR,-110.8355,31.9107,7
283,US-xST,-89.5864,45.5089,3
284,US-xTA,-87.3933,32.9505,8
285,US-xTR,-89.5857,45.4937,3
286,US-xUK,-95.1921,39.0404,1
287,US-xUN,-89.5373,46.2339,3
288,US-xYE,-110.5391,44.9535,1
289,ZM-Mon,23.25277778,-15.43777778,4
