site_left_out,mse_scaled,rmse_scaled,r2_scaled,mae_scaled,relative_error
US-xMB,1.0788443e-05,0.0032845766,-0.2326859235763549,0.002614371,0.0051835384
US-xML,0.0003908535,0.019770015,0.3958460688591003,0.010648502,0.02005122
US-xNG,9.5127056e-05,0.00975331,0.6404955387115479,0.004971865,0.009499154
US-xNQ,1.6293268e-05,0.004036492,0.2865755558013916,0.0029937287,0.005932358
US-xRM,5.0001276e-05,0.007071158,0.7929841876029968,0.0040235617,0.007673418
US-xSB,0.0004339911,0.020832453,0.361591100692749,0.013854355,0.025419656
US-xSE,0.0003598521,0.018969769,0.7764534950256348,0.010623715,0.019553272
US-xSR,3.432064e-05,0.005858382,0.0490241646766662,0.0037620447,0.00743927
US-xST,0.00023127015,0.015207569,0.8278190493583679,0.008986092,0.016656922
US-xTA,0.0004930617,0.022204993,0.6628035306930542,0.014247943,0.025935534
US-xTR,0.00059549406,0.024402747,0.5008081197738647,0.014184724,0.026063811
US-xUK,0.00023778414,0.0154202515,0.8413607478141785,0.00863031,0.015918314
US-xUN,0.00031596096,0.017775292,0.7006626129150391,0.0086813895,0.015750015
US-xYE,5.305139e-05,0.0072836387,0.8167492747306824,0.0039028372,0.00744872
ZM-Mon,0.0003403802,0.018449396,0.6850749254226685,0.011770211,0.021448484
