# mse trained on AR-SLu
site,mse
DE-SfN,0.00013275271368288845
DE-Tha,0.0020986840616561953
DK-Fou,0.008748846288417662
DK-Gds,9.610179588406677e-05
DK-Skj,0.002094728725582613
DK-Sor,0.00032466479561334924
DK-Vng,0.0005971447987450512
ES-Abr,0.00026641818528069875
ES-Agu,0.0008420997258284616
ES-Amo,0.0022995857364676896
ES-LJu,0.0003271235555025307
ES-LM1,0.0008244159932301173
ES-LM2,0.00035150760264252506
ES-LgS,0.0007925561253124262
FI-Hyy,0.0040827335728267
FI-Ken,0.0022536716596932987
FI-Let,0.001073821582704053
FI-Lom,0.004516042089465333
FI-Qvd,0.002727076090172916
FI-Sii,0.008870326004285242
FI-Sod,0.008279471723927446
FI-Var,0.0014422516308261956
FR-Aur,0.0005250573088471175
FR-Bil,0.00011686417880428922
FR-EM2,0.0004913921514179847
FR-FBn,0.00020148418081918562
FR-Fon,0.0005210493284612683
FR-Gri,0.0002980495053540282
FR-Hes,0.0008074420850443541
FR-LBr,0.00019934643617756578
FR-LGt,0.0003717067197106097
FR-Lam,0.000686544560265398
FR-Mej,0.0006095978841948763
FR-Pue,0.0011043073711829137
FR-Tou,0.0020240055116177184
GF-Guy,0.0001901419203994088
GH-Ank,0.0006573454830033144
GL-NuF,0.00194746114564768
GL-ZaF,0.0061635610082849115
GL-ZaH,0.0019561324030739533
IL-Yat,8.522782944416305e-05
IT-BCi,0.0001305739954967116
IT-BFt,0.0005152919888006714
IT-CA1,0.000376494975880801
IT-CA2,0.0005093464132481768
IT-CA3,0.002670057189285429
IT-Col,5.9215406417238935e-05
IT-Cp2,0.0008974764721745073
IT-Cpz,0.0007535092817652258
IT-Isp,0.0017352755310758585
IT-La2,0.00014613079619568389
IT-Lav,0.0016602575756289248
IT-Lsn,0.005896646371692674
IT-MBo,0.0021869608895808473
IT-Noe,0.0014963883518228085
IT-PT1,0.0010779964199529727
IT-Ren,0.0017870701976861383
IT-Ro1,0.001030979003441104
IT-SR2,0.0001712503927645306
IT-SRo,0.001974731545489637
IT-Tor,0.0011260008626651423
JP-SMF,0.0002708740377412309
MX-Tes,0.0011196583836309115
MY-PSO,0.00019699139869180782
NL-Hor,0.0016768476942362377
NL-Loo,0.0006741086405448751
PA-SPn,0.0008738614391780317
PA-SPs,0.001078355930290693
RU-Che,0.0036713984493691293
RU-Cok,0.001410023535607417
RU-Fy2,0.009851730229449272
RU-Fyo,0.017137492110554757
RU-Ha1,0.007833463742410755
SE-Deg,5.456419124926328e-05
SE-Htm,0.010706777765859531
SE-Lnn,0.0010255551154265757
SE-Nor,0.003681326655241137
SE-Ros,0.0018318544202756803
SE-Svb,0.006647990725844467
SJ-Adv,0.0017357949690764403
US-A32,0.0008599683631952212
US-AR1,0.0001327939632726082
US-AR2,0.0007861527465704917
US-ARM,9.650660287540365e-05
US-ARb,0.0002123592409834281
US-ARc,0.0004910611881220598
US-Atq,0.001069875324854152
US-BZB,0.0003491739003302509
US-BZF,0.0003935188062693969
US-BZS,0.00024086134773986244
US-BZo,0.0006610990333624279
US-Bi1,0.00020080180024954032
US-Bi2,0.001788477743370545
US-Blo,0.0028174019654953718
US-CF1,0.0009605105891246382
US-CF2,0.0012480689686637325
US-CF3,6.474833588274002e-05
US-CF4,0.00010520140920188003
US-CRT,0.0022040761988692905
US-CS1,0.001304497447813012
US-CS3,0.0025247841806394153
US-CS4,0.0027814875681216574
US-EDN,0.0009469157822907023
US-GLE,0.0006519354843580578
US-Goo,0.003172660050137739
US-HB1,0.000616523379078072
US-HWB,0.0016595128542707036
US-Hn3,0.0003253580601718634
US-Ho2,0.0002047026515233672
US-IB2,0.00018517870811705838
US-ICs,0.0010741141405555923
US-ICt,0.001994262066964855
US-Ivo,0.008685420922307148
US-Jo2,0.0014911447241183816
US-KFS,0.00067149397473876
US-KLS,0.0011904875940929416
US-KS1,0.0006618660523324981
US-KS2,5.513557259351051e-05
US-KS3,0.0004914884566845396
US-LWW,0.00037103293617905147
US-Lin,0.0011936794220227954
US-MOz,0.00022291143625715188
US-Me1,0.003008380683965606
US-Me2,0.0018089433342971606
US-Me3,0.0005728416485178984
US-Me4,0.0003829050278146599
US-Me5,0.001532634398245694
US-Me6,0.000995742264855869
US-Mpj,0.0003742374384885175
US-Myb,0.0015208848635273357
US-NC1,0.0036315885343301017
US-NC4,0.002779237547414749
US-NR1,0.001283578928452101
US-ONA,0.00033451968359987075
US-OWC,0.0007170825561519328
US-Oho,0.00014229475053818645
US-Prr,0.039612939701705964
US-Ro1,0.00779246473374117
US-Ro4,0.0008980536423664084
US-Ro5,0.004239078663450354
US-Ro6,0.006950117444508657
US-SRC,0.0013535274029615257
US-SRG,0.0026178777180677093
US-SRM,0.00218199869455071
US-Seg,0.0011112431032543329
US-Ses,0.0002974805813654817
US-Sne,0.0015189886442909242
US-Snf,0.002602663550132579
US-Ton,0.0013916946644165968
US-Tw3,0.0002092533098977396
US-Tw4,0.0010513498322623465
US-Twt,0.00029381731416491493
US-Var,0.0009154179702579699
US-WPT,0.0019138923314607542
US-Whs,0.0003094712481939307
US-Wi0,0.0004026008454043059
US-Wi1,0.012839192815451114
US-Wi2,0.0004163838439803788
US-Wi4,0.0004100519781164266
US-Wi5,0.00029705786135989426
US-Wi6,0.0006939596162356882
US-Wi7,0.0001261239140504873
US-Wi8,0.0003654596667778632
