location,mse
55.4859_11.6446,3.968963974895386e-14
55.8631_-98.485,4.6831793898443505e-15
55.8792_-98.4839,3.900473264064552e-15
55.9058_-98.5247,4.685289344137691e-15
55.9117_-98.3822,3.02283789351819e-15
55.9127_8.4048,8.77528095489261e-15
55.9144_-98.3806,1.362989483936708e-15
55.9167_-98.9644,1.0801719161863019e-15
56.0375_9.1607,1.4513180604369103e-15
56.0737_9.3341,1.062550139470296e-15
56.0976_13.419,1.143820052365988e-15
56.4476_32.9019,9.356729832259611e-15
56.4615_32.9221,1.4752871499434993e-14
56.4842_9.5872,1.0553789305593351e-15
56.6358_-99.9483,1.842958986367491e-15
58.3406_13.1018,1.2914948660643096e-15
60.0865_17.4795,1.3618908926364435e-15
60.2952_22.3916,1.5587308919460077e-14
60.6418_23.9595,5.337056461273802e-15
61.8326_24.1928,8.388365004961387e-16
61.8474_24.2948,7.019526381308321e-15
63.8757_-149.2133,1.3552317189650954e-15
64.1308_-51.3861,5.19930086682556e-16
64.1725_19.738,1.1385756245129965e-14
64.182_19.5565,1.4067433493823918e-15
64.2561_19.7745,1.2818300964122045e-15
64.6936_-148.33,1.265560936426691e-15
64.6955_-148.3208,1.562056465974352e-15
64.6963_-148.3235,8.925268395269578e-15
64.7013_-148.3121,7.180293331309707e-16
65.1237_-147.4876,1.4053245062435902e-15
67.3624_26.6386,1.2933404595264838e-15
67.7549_29.61,1.3666009498876916e-15
67.9872_24.243,1.525278065317906e-15
67.9972_24.2092,1.385464124749895e-15
68.4865_-155.7503,1.6048344295055198e-15
68.6058_-149.311,1.1487885291645826e-15
68.6063_-149.3041,1.6563137392817915e-15
68.613_161.3414,1.6695312044963785e-15
70.4696_-157.4089,1.1895754288455722e-15
70.8291_147.4943,1.1245719226896247e-15
74.4733_-20.5503,7.853507587180848e-16
74.4814_-20.5545,1.290224474417258e-15
78.186_15.923,1.085940579582621e-15
9.3138_-79.6314,3.668356015624502e-15
9.3181_-79.6346,6.193229258950036e-15
