location,mse
40.1776_-112.4524,3.6815880232659475e-15
40.2759_-105.5459,1.0551129948873258e-15
40.5238_14.9574,1.6218267034275464e-15
40.6062_8.1512,5.8209186382358516e-15
40.8155_-104.7456,1.237638636350031e-15
40.8608_-77.8488,2.9536340374243257e-15
41.3665_-106.2399,1.5803929170481487e-15
41.3795_-82.5125,1.3667376586639837e-14
41.4646_-82.9962,1.2135997572631081e-15
41.5545_-83.8438,2.2592144941121085e-15
41.6285_-83.3471,1.3121541091948196e-15
41.7043_12.3573,4.4198442707831366e-15
41.7052_12.3761,1.0562422295911748e-14
41.7902_111.8971,2.888712905782792e-16
41.8406_-88.241,1.0710708819062085e-15
41.8494_13.5881,3.9358811616172464e-14
42.0467_116.2836,8.696116852022234e-16
42.0551_116.2809,1.570813473835093e-15
42.3772_12.026,4.305603742820056e-16
42.3804_12.0266,1.2220315174135618e-14
42.38_12.0222,9.254025738148329e-16
42.3903_11.9209,1.1872167427315393e-15
42.4025_128.0958,1.2305767465986873e-15
42.4081_11.93,5.362226148441961e-15
42.5369_-72.1727,8.586576546991179e-16
42.6353_-80.5577,1.332736228239179e-15
42.6609_-80.5595,1.2733094199158377e-15
42.7102_-80.3574,1.7839907461306813e-15
43.2408_5.6786,1.9974703138279685e-15
43.4965_1.2378,3.7994273390405795e-15
43.5497_1.1061,1.798388845141439e-15
43.5729_1.3747,1.130816934106942e-15
43.7279_10.2844,1.0476170402725936e-15
43.732_10.291,5.297903785415832e-15
43.7413_3.5957,3.914075778249923e-15
44.0639_-71.2873,1.2141437564639812e-15
44.1031_-89.5379,5.324492829701158e-14
44.1394_-89.5727,8.180047276981503e-16
44.1597_-89.5475,1.1800223586714706e-15
44.3154_-121.6078,1.0977512292942796e-15
44.3233_-121.6078,3.1638653562367666e-15
44.4372_-121.5668,2.076108402390587e-15
44.4523_-121.5574,8.085895058627017e-16
44.4937_-0.9561,1.8011348995165713e-14
44.4992_-121.6224,2.8596808731732413e-15
44.5794_-121.5,1.0775412034341611e-15
44.5934_123.5092,9.79456322625375e-16
44.6781_-93.0723,1.017991255787599e-15
44.691_-93.0576,1.0640615723594454e-15
44.6946_-93.0578,1.0573591020263855e-15
44.7143_-93.0898,9.93523189787323e-16
44.7171_-0.7693,1.764184273894699e-14
44.9535_-110.5391,1.0941793507055691e-15
45.2009_9.061,1.2743180104183788e-15
45.2022_10.7427,5.365245026405125e-15
45.2091_-68.747,5.430255982650481e-16
45.4937_-89.5857,1.2351393311810291e-14
45.5089_-89.5864,1.4388092552258638e-14
45.7405_12.7503,9.872002906326989e-16
45.8059_-90.0799,1.2068891671905813e-15
45.8126_8.6336,1.1118217900558027e-15
45.8444_7.5781,1.61148697070196e-14
45.9542_11.2853,4.16830040842587e-14
45.9562_11.2813,1.4759539889380245e-15
46.0147_11.0458,1.181003710129563e-15
