site_id,mse,rmse,r2,relative_error,mae
IT-CA3,0.0518087521195411,0.227615360025507,0.3967965245246887,0.2744306623935699,0.1409227102994918
IT-Col,0.0062823430635035,0.0792612330430425,0.6564105749130249,0.2581451535224914,0.0626674965023994
IT-Cp2,0.0096468832343816,0.0982185483214941,0.4483683705329895,0.2049021869897842,0.0783448591828346
IT-Cpz,0.005619372241199,0.0749624722190978,0.7536515593528748,0.1405094861984253,0.0545644350349903
IT-Isp,0.0053021972998976,0.0728161884466474,0.6690710783004761,0.2383350729942321,0.0576282516121864
IT-La2,0.0045575853437185,0.0675098907103139,-0.0085532665252685,0.1594388335943222,0.0548205636441707
IT-Lav,0.003924966789782,0.0626495553837539,0.733418345451355,0.0956257209181785,0.0438707694411277
IT-Lsn,0.0057218489237129,0.0756429039878359,0.7443512678146362,0.1840346008539199,0.0586492046713829
IT-MBo,0.0054736621677875,0.0739842021501046,0.6777350306510925,0.159434288740158,0.0558505095541477
IT-Noe,0.0044416491873562,0.0666456989411637,0.6823703646659851,0.17090705037117,0.0492991209030151
IT-PT1,0.0083934925496578,0.0916160059687051,0.7089461088180542,0.191847026348114,0.0683483406901359
IT-Ren,0.0030485347378998,0.0552135376325398,0.691329836845398,0.1297273933887481,0.0379888862371444
IT-Ro1,0.0058193863369524,0.0762849024181878,0.635290265083313,0.1724971830844879,0.0498984344303607
IT-Ro2,0.005028280429542,0.0709103689846701,0.5465812683105469,0.171507254242897,0.0520657822489738
IT-SR2,0.0056449235416948,0.0751327062050534,0.5281937122344971,0.1122082024812698,0.0523754954338073
IT-SRo,0.0060114292427897,0.0775334072693167,0.5209461450576782,0.1530742049217224,0.0541067533195018
IT-Tor,0.0013867184752598,0.0372386690855062,0.4445341229438782,0.0623199716210365,0.0282650403678417
JP-SMF,0.0086969071999192,0.0932572099085064,0.6351641416549683,0.2481370866298675,0.0721440017223358
MX-Tes,0.0025785581674426,0.0507795053879287,-0.5913468599319458,0.0601591132581234,0.0358762443065643
MY-PSO,0.0059554209001362,0.0771713735794318,0.6818569898605347,0.1373092085123062,0.0543309040367603
NL-Hor,10.396597862243652,3.224375577106931,-493.3995971679688,3.917568445205689,1.3504737615585327
NL-Loo,0.0038408171385526,0.0619743264469462,0.773495078086853,0.1285999566316604,0.0462597273290157
PA-SPn,0.0060770665295422,0.0779555420065963,0.5502590537071228,0.1521947979927063,0.0577617064118385
PA-SPs,0.0065645207650959,0.0810217302030507,0.8223666548728943,0.2438848614692688,0.0661704093217849
RU-Che,0.0032548527233302,0.0570513165784126,0.5939743518829346,0.3882037997245788,0.0449965298175811
RU-Cok,0.0111651942133903,0.1056654826014169,0.5684715509414673,0.2374465763568878,0.0833222121000289
RU-Fy2,0.0028062846977263,0.0529743777474202,0.7510269284248352,0.1201852932572364,0.0385843552649021
RU-Fyo,0.0048413914628326,0.0695801082410245,0.7405391931533813,0.1732899993658065,0.0474128909409046
RU-Ha1,0.0025829954538494,0.050823178313142,0.6091359853744507,0.1880810856819152,0.0407087467610836
SD-Dem,0.0056717940606176,0.0753113142935222,0.5445741415023804,0.2572970986366272,0.0574514269828796
SE-Deg,0.0015151436673477,0.0389248464010807,0.0370076894760131,0.0865021124482154,0.0326005928218364
SE-Htm,0.0035425843670964,0.0595196132976048,0.771793007850647,0.1249532252550125,0.0446827933192253
SE-Lnn,0.0033710044808685,0.0580603520560164,0.5770732164382935,0.4386715590953827,0.0417256243526935
SE-Nor,0.0033787288703024,0.0581268343392485,0.6898936033248901,0.0984317734837532,0.0448135696351528
SE-Ros,0.0027576331049203,0.0525131707757243,0.7672548294067383,0.1798446774482727,0.0409396663308143
SE-Svb,0.0042186006903648,0.0649507558875556,0.7123302221298218,0.168829396367073,0.0483557097613811
SJ-Adv,0.0009930628584697,0.0315128998740164,-12.364886283874512,0.1124075278639793,0.0249033272266387
US-A32,0.0027574175037443,0.0525111179060621,0.6390295624732971,0.1812775284051895,0.0400830395519733
US-AR1,0.0013223197311162,0.0363637144845833,0.0717294216156005,0.0542157553136348,0.0257626678794622
US-AR2,0.0170086547732353,0.1304172334211829,-7.918422698974609,0.2317208647727966,0.106977492570877
US-ARM,0.0040066721849143,0.0632982794783108,0.3306331038475036,0.1264210790395736,0.049078345298767
US-ARb,0.0059996074996888,0.0774571333040983,-0.7738596200942993,0.1544765084981918,0.0558644868433475
US-ARc,0.01085224468261,0.1041741075441015,-0.1930663585662841,0.2331635355949401,0.0800463110208511
US-Atq,0.0052698957733809,0.0725940477820392,0.5479609966278076,0.1625813841819763,0.0559070408344268
US-BZB,0.0020393773447722,0.0451594657272671,0.4451223015785217,0.067269429564476,0.034610092639923
US-BZF,0.0022488394752144,0.0474219303193625,0.5062927007675171,0.0783640891313552,0.0379690490663051
US-BZS,0.0024041689466685,0.0490323255278444,0.5545718669891357,0.0837122052907943,0.0361068807542324
US-BZo,0.0039963112212717,0.063216384120509,-0.1568316221237182,0.1050956100225448,0.0480786897242069
US-Bi1,0.0094190966337919,0.0970520305495558,0.6133133172988892,0.1713000237941742,0.0649545714259147
US-Bi2,0.006949495524168,0.0833636343027822,0.5753440856933594,0.2407552152872085,0.0638030171394348
US-Blo,0.0347363576292991,0.1863769235428548,-0.7175214290618896,0.1912752240896225,0.0880691111087799
US-CF1,0.0065600732341408,0.0809942790210572,0.513414740562439,0.2281016260385513,0.0515536554157733
US-CF2,0.0078805880621075,0.0887726763261509,0.582306981086731,0.2885825037956238,0.0622753724455833
US-CF3,0.0037744261790066,0.0614363587707368,-29.180606842041016,0.2179024815559387,0.0528207831084728
US-CF4,0.0067647015675902,0.0822478058527413,0.4440773725509643,0.2385914176702499,0.0620448440313339
US-CRT,0.0098899854347109,0.0994484058932619,-1.061413288116455,0.4281053245067596,0.0787374675273895
US-CS1,0.0112788332626223,0.106201851502798,-31.76768493652344,0.2791215479373932,0.0853931307792663
US-CS3,0.0031875406857579,0.0564583092711603,-0.9784852266311646,0.193582996726036,0.0455304309725761
US-CS4,0.024911556392908,0.1578339519650575,-582.5159912109375,0.4869840443134308,0.1418357342481613
US-EDN,0.0051922020502388,0.0720569361702178,0.5887562036514282,0.1303510814905166,0.0566500835120677
US-GLE,0.0028706665616482,0.0535786017141941,0.5033544301986694,0.1022174134850502,0.0414779894053936
