site,test_loss,mse,r2,relative_error,mae,rmse
CA-Gro,0.0003741478431038,0.0003741476684808,0.5130622386932373,2.2428648471832275,0.0134402140974998,0.0193428974598646
CA-LP1,0.0001043482916429,0.0001043482552631,0.5408114194869995,2.3262088298797607,0.0067877043038606,0.0102150989696383
CA-NS1,0.0001780170277925,0.0001780172024155,0.5655487775802612,1.97271466255188,0.0100362608209252,0.0133423088118433
CA-NS2,9.809172479435802e-05,9.80917175184004e-05,0.7180498838424683,1.5758568048477173,0.0069185341708362,0.0099041266366839
CA-NS3,0.0001062975570675,0.0001062975716195,0.6037863492965698,1.3921177387237549,0.0070345937274396,0.0103100715205073
CA-NS4,6.359667895594612e-05,6.359669350786135e-05,0.6850085258483887,1.6915733814239502,0.005442903842777,0.0079747531563043
CA-NS5,0.0001843179779825,0.0001843179779825,0.5801138877868652,2.1695363521575928,0.0101408455520868,0.0135763753205537
CA-NS6,7.691790960961953e-05,7.691792416153476e-05,0.5886267423629761,1.1585068702697754,0.0063196262344717,0.0087702861055731
CA-NS7,5.841545862494968e-05,5.841544407303445e-05,0.7054576873779297,1.188760757446289,0.0046074534766376,0.0076429997570812
CA-Oas,0.0001392300328006,0.0001392300036968,0.8753596544265747,1.3029625415802002,0.0067353942431509,0.0117995766922831
CA-Obs,0.0001811713009374,0.0001811711554182,0.5630881786346436,1.708310604095459,0.0096610663458704,0.0134599832817912
CA-Qfo,0.0002445081190671,0.0002445081190671,0.1266271471977234,3.2291994094848637,0.0110340910032391,0.0156367551535367
CA-SF1,0.0003305143909528,0.0003305140999145,0.6803133487701416,6.950085163116455,0.0140015855431556,0.0181800462305545
CA-SF2,0.0008971072384156,0.0008971072384156,0.5065640211105347,2.4490151405334477,0.0214595925062894,0.029951749369502
CA-SF3,0.0002924959117081,0.0002924957661889,0.1935306191444397,2.838679552078247,0.0123836379498243,0.0171025078743696
CA-TP1,0.0003002762387041,0.0003002769662998,0.5750949382781982,2.29327130317688,0.0107868453487753,0.0173285007476806
CA-TP4,0.0004743291356135,0.0004743286699522,0.638521671295166,2.946394681930542,0.0163954962044954,0.0217790883034467
CA-TPD,0.0002674330607987,0.0002674330025911,0.820331335067749,2.2215490341186523,0.0111753558740019,0.016353378072381
CH-Aws,0.0010847159428521,0.0010847168741747,0.4784359931945801,2.820112943649292,0.0195170938968658,0.0329350419342517
CH-Cha,0.0018577791051939,0.0018577807350084,0.4131374359130859,8.654149055480957,0.0306866411119699,0.0431019812822341
CH-Dav,0.0005298415780998,0.0005298404139466,0.5059041976928711,14.558470726013184,0.0156714208424091,0.0230182632803916
CH-Fru,0.000701317039784,0.0007013177964836,0.7005969285964966,3.57118821144104,0.0179959721863269,0.0264824051409959
CH-Lae,0.0015448621707037,0.0015448638005182,0.3563876748085022,9.60550594329834,0.0265928022563457,0.0393047556281089
CH-Oe1,0.0012072826502844,0.0012072818353772,0.3627902865409851,2.1881628036499023,0.0218659788370132,0.0347459614276886
CH-Oe2,0.0008490409818477,0.0008490413310937,0.4554567337036133,4.362313270568848,0.0171475131064653,0.0291383136063814
CN-Cha,0.000393775088014,0.0003937748551834,0.7523900270462036,2.506831645965576,0.012777061201632,0.0198437608778476
CN-Cng,0.0001782049366738,0.0001782049512257,0.3486894965171814,1.1382290124893188,0.0073278984054923,0.0133493430912494
CN-Dan,0.0001049577840603,0.0001049577913363,-0.546452522277832,1.2356560230255127,0.0048192064277827,0.0102448910474777
CN-Din,0.0004074847092851,0.000407484913012,0.5115358829498291,2.817664861679077,0.0168240386992692,0.0201862547546625
CN-Du2,3.913492400897667e-05,3.913489854312502e-05,0.5633810758590698,1.0039504766464231,0.0036665264051407,0.006255789194256
CN-Du3,2.9646256734849885e-05,2.964625309687108e-05,-0.4703565835952759,0.1702690124511718,0.0035708826035261,0.0054448372684419
CN-Ha2,0.00012374536891,0.0001237453398061,0.7684130072593689,1.2535089254379272,0.0083099752664566,0.0111240884289145
CN-HaM,0.0218307729810476,0.0218307711184024,-52.8133430480957,5.582094669342041,0.0373911075294017,0.1477524042129516
CN-Qia,0.0003558248863555,0.000355824624421,0.7145731449127197,2.727729558944702,0.0140380766242742,0.0188633147627115
