site_left_out,mse,rmse,r2,relative_error,mae
ES-LgS,0.000337739354836,0.0183776863297861,-2.366067220731567,0.0269263528774349,0.0137937073507825
FI-Hyy,0.0001775163017062,0.0133235243725635,0.7495582115095991,0.0193631595956692,0.0102007546920074
FI-Ken,0.0001209876366397,0.0109994380147228,0.630842973604293,0.0177764408624716,0.0091196904944912
FI-Let,0.000327675041516,0.0181017966377947,0.6527530338377894,0.0229445868505342,0.0123221046105888
FI-Lom,0.0001519338352474,0.0123261443788158,0.2719159618066108,0.016143111310192,0.0082349076225902
FI-Qvd,0.0003657927383493,0.0191257088325984,0.6712417225576902,0.0222779098293366,0.0122751906032995
FI-Sii,0.0001918247557398,0.0138500814344107,-1.2406499979249674,0.0196965034303889,0.0100824173117911
FI-Sod,0.0001018744632188,0.0100932880281347,0.594854286194761,0.0136238707514916,0.0070047667874646
FI-Var,0.000163775548776,0.0127974821264198,0.0900682448967267,0.0207215249569918,0.0105522984176616
FR-Aur,0.0006445239121968,0.0253874754986952,0.4469355211938831,0.0277609258564303,0.0151925551249995
FR-Bil,0.0004587316132961,0.0214180207604748,0.6316200598289502,0.0243057275221531,0.0135955245991517
FR-EM2,0.0016815130643954,0.0410062564055227,0.3447758842282569,0.0352388782092437,0.0209459554118148
FR-FBn,0.0002695494599159,0.0164179615030605,0.7044269317864416,0.02148485879027,0.0116049918725109
FR-Fon,0.0009308199795804,0.0305093424966913,0.5643332351646977,0.0353778494029826,0.0196448478215377
FR-Gri,0.000810643207417,0.0284717967015971,0.4581743269358258,0.0271463901071008,0.0153196640930865
FR-Hes,0.0009169750129772,0.0302815952845488,0.5870280986743761,0.0376991184316489,0.0207325359402771
FR-LBr,0.0004398168072297,0.0209718098224678,0.659828743187229,0.0249256790998162,0.0138012889269667
FR-LGt,0.0002681070104179,0.0163739735683774,0.6323060065418076,0.0237402356832021,0.0123932883994597
FR-Lam,0.0009892659436143,0.0314525983602994,0.3974368508633619,0.0316820575550157,0.017767855442378
FR-Mej,0.0009480811259379,0.0307909260324842,0.4790632310531602,0.0316063442872715,0.0180707631688127
FR-Pue,0.0002071314866797,0.0143920633225307,0.6166311409172622,0.0191103348554876,0.0100231433535716
FR-Tou,0.0002932502822589,0.0171245520308994,0.5843952251714589,0.0215419586360208,0.0115361716914842
GF-Guy,0.0016222450886425,0.0402771037767438,0.5612757370112205,0.0565527621817744,0.0314608827469391
GH-Ank,0.0015455504805601,0.0393134898038846,0.5049974141903584,0.0464205180337663,0.0261269772009493
GL-NuF,0.0002092227984329,0.0144645358872297,-0.7766445333466672,0.0200185888172978,0.0102495010918452
GL-ZaF,0.0001575846806982,0.0125532737044261,-0.075779730932332,0.0197374070223392,0.0100346085599563
GL-ZaH,0.0002461621273822,0.0156895547222431,-14.26423144335051,0.0243605200998992,0.0123397448986057
IL-Yat,0.0004732921286884,0.0217552781799822,-1.033690708024983,0.0320546443006291,0.0163623088333927
IT-BCi,0.00168229914236,0.041015840139634,0.324410663049006,0.0390698482877445,0.0228234539569831
IT-BFt,0.0013714961469231,0.037033716353117,0.4946209024862007,0.0433551210529366,0.0248798130003593
IT-CA1,0.0002974550964413,0.0172468865724027,0.6415025698334786,0.0194262796143303,0.0105692859330199
IT-CA2,0.0005363514692078,0.0231592631404333,0.3845546147160116,0.0273412892049594,0.0146581703503589
