site_left_out,mse,rmse,r2
IT-Lsn,0.0001792808620747,0.0133895803546926,0.7585378006992138
IT-MBo,0.0005093645364591,0.0225691057966226,0.6473450516382555
IT-Noe,0.000225860357332,0.0150286512146651,0.5403967445309263
IT-PT1,0.0007957233650492,0.0282085690003811,0.5732180497166308
IT-Ren,0.000404960802706,0.0201236379093352,0.6708822434908145
IT-Ro1,0.0003970777936894,0.0199268109262242,0.6597251922981047
IT-Ro2,0.000593446577009,0.0243607589579853,0.5780964909986976
IT-SR2,0.0010155454896748,0.0318676244749247,0.5572980294451545
IT-SRo,0.0005449815681592,0.0233448402898647,0.6424277624417734
IT-Tor,0.0003224860344003,0.0179578961574097,0.5708625056501111
JP-SMF,0.0003537304630429,0.01880772349443,0.6494679542952355
MX-Tes,0.0006255158091146,0.0250103140546977,-5.916414675033727
MY-PSO,0.0008300453357254,0.0288105073840337,0.6299019145363361
NL-Hor,0.0002961070245272,0.0172077605901298,0.7169470428373441
NL-Loo,0.0003847889692971,0.019616038572992,0.6772266494726794
PA-SPn,0.0004689030036549,0.0216541682743759,0.7065181352555132
PA-SPs,0.0009947137755351,0.0315390833020736,0.607487210228776
RU-Che,0.0001786409301332,0.0133656623529554,-0.6080306555754804
RU-Cok,0.0002039464118082,0.0142809807719304,-0.1372573758126283
RU-Fy2,0.0004845004507509,0.0220113709421048,0.6809902539014643
RU-Fyo,0.0003331926343051,0.0182535649752347,0.7123177075278557
RU-Ha1,0.0001304076942552,0.0114196188314336,0.5179694544350358
SD-Dem,0.0005215125902056,0.022836650152893,-0.3500132853792521
SE-Deg,0.000289138559878,0.0170040748021786,-4.313731228709558
SE-Htm,0.0007220215229269,0.0268704581823041,0.6082001968022321
SE-Lnn,0.0003724291598915,0.0192984237670216,0.5525330589191109
SE-Nor,0.0002658445665625,0.0163047406162288,0.7238821821725088
SE-Ros,0.0001277076944891,0.0113007829148772,0.7491877771012645
SE-Svb,0.0001890843148573,0.0137507932446575,0.7315729201989418
SJ-Adv,0.0001109303281372,0.0105323467535631,-0.1649248530063078
US-A32,0.000944250795093,0.0307286640629412,0.4654727193448711
US-AR1,0.0003771830868055,0.0194212019917817,-0.5790767210081393
US-AR2,0.0004700588145666,0.0216808398030767,-2.8501183807565824
