site,mse,rmse,r2_score
US-KLS,0.0011650815568211,0.0341332910341379,0.4864235252114648
US-KS1,0.0008623083291122,0.0293650869079642,0.8211658104972096
US-KS2,0.0050979341091242,0.071399818691116,0.4860112845673709
US-KS3,0.0003104493046557,0.0176195716365571,0.5534647191810469
US-LWW,0.0034425002217438,0.0586728235364877,-0.4968958062598205
US-Lin,0.0087465191196238,0.0935228267302899,0.3954273554972998
US-Los,0.0023845941409964,0.0488323063247727,0.6862737448486227
US-MOz,0.0016370787030368,0.0404608292430699,0.6815267056533417
US-Me1,0.0033898767725867,0.0582226482787129,0.5841718992033358
US-Me2,0.0016094915473611,0.0401184689059929,0.7388043414842372
US-Me3,0.0023513978211519,0.0484912138552128,0.6377941084259264
US-Me4,0.0086972263101269,0.0932589208072181,-1.3830440341696
US-Me5,0.0053808499600998,0.0733542770402642,0.7731057848720205
US-Me6,0.0044115122856679,0.0664192162379828,0.6375047901091424
US-Mpj,0.0045630624300504,0.0675504435962522,-0.0843073884054153
US-Myb,0.0052720877063305,0.0726091434072218,0.622347701046539
US-NC1,0.0044483162565774,0.0666956989361193,0.6759211577435185
US-NC4,0.0012551166102275,0.0354276249588864,0.7495246285982544
US-NR1,0.0068307177580903,0.0826481564107172,0.6494282775556528
US-ONA,0.0006539212953929,0.0255718848619514,0.8204554044449199
US-OWC,0.001453875155423,0.0381297148615499,0.7302918906548033
US-Oho,0.0048664635391951,0.0697600425687592,0.6905094788693689
US-Prr,0.0012408610305569,0.0352258574140777,0.7117346805430995
US-Ro1,0.0088422323379575,0.0940331448902862,-0.2320756909387862
US-Ro4,0.0033424871801524,0.0578142472073492,0.7041954707679543
US-Ro5,0.0064640226200566,0.080399145642579,0.5690635801295372
US-Ro6,0.0036564164048408,0.0604683090952677,0.4297391934616011
US-SRC,0.0010639235195618,0.0326178405103994,0.1902279865427291
US-SRG,0.0026901616151217,0.0518667679263101,0.434349070596148
US-SRM,0.0014702352922765,0.0383436473522868,0.4264890643237594
US-Seg,0.0017372138357833,0.0416798972621498,0.3190796820633406
US-Ses,0.0017434799404375,0.0417549989873968,0.2068175465082745
US-Sne,0.0023233566883449,0.0482012104448111,0.4787103314692071
US-Snf,0.0080070380585986,0.0894820543941559,0.7322649528860019
US-Syv,0.0062620783729319,0.0791332949707768,0.6751829483449966
US-Ton,0.0006377157335246,0.0252530341449222,0.4278345965239413
US-Tw3,0.0059203685533115,0.0769439312311993,0.4623153675507158
US-Tw4,0.004698756403578,0.0685474755448952,0.5878941227366197
US-Twt,0.0068310834788301,0.082650368897121,0.5289287846905764
US-Var,0.0011412205990808,0.0337819567088826,0.4749114059921725
US-WCr,0.0030567183611369,0.0552875968110114,0.6099323563988673
US-WPT,0.0025995048197954,0.0509853392633166,0.6095956542865959
US-Whs,0.0009499272748754,0.0308208902349598,0.2306298960858218
US-Wi0,0.0002115618422912,0.0145451655986193,-4.212741114979247
US-Wi1,0.0568636291315354,0.2384609593445758,-187.80658396059656
US-Wi2,0.0007013191396665,0.0264824307733735,-6.089262844499503
US-Wi3,0.0026654321376314,0.0516278232896903,0.6627349030747182
US-Wi4,0.002235929031555,0.0472856112528436,0.7272518916758828
US-Wi5,0.0002859740994286,0.016910768741504,-2.332518287614152
US-Wi6,0.0010903036543633,0.0330197464309363,-0.3293361608549618
US-Wi7,0.0021085748534945,0.0459192209591427,-0.692030585761936
US-Wi8,0.0022786511432694,0.0477352191077971,-1.7910272064351909
US-Wi9,0.0028762445588885,0.0536306307895825,0.3374984527431612
US-Wjs,0.0015015282398922,0.0387495579315713,0.6184313928690696
US-Wkg,0.0025011315495061,0.0500113142149471,0.4264234051528252
US-xAE,0.003896352010134,0.0624207658566768,0.6254025233560561
US-xBR,0.0020048718547109,0.0447757954112591,0.6864088335030405
US-xCL,0.000587393970108,0.0242362119587216,0.6831938563345537
US-xCP,0.0012124923631354,0.0348208610338038,0.5045320201184447
US-xDC,0.001242672629353,0.0352515620838716,0.4810967208470874
US-xDL,0.0033556717933913,0.0579281606249618,0.7376349181490843
US-xDS,0.001831479485708,0.0427957881772036,0.8466817616221154
US-xGR,0.0080638830950418,0.0897991263601258,0.664663960488962
US-xHA,0.0041193939127305,0.0641825047246565,0.6988022728884699
US-xHE,0.0011227217149369,0.0335070397817671,0.7063402903821878
US-xJE,0.0025675749249981,0.0506712435706695,0.7109789216616316
US-xKA,0.0024514247882461,0.0495118651259079,0.396616675016504
US-xKZ,0.0022587179856933,0.0475259716964662,0.6965162501837974
US-xMB,0.0011033073182255,0.0332160701803442,-0.3727550132580153
US-xML,0.0010382541636013,0.0322219515796499,-0.3102471626417464
US-xNG,5.196381439153399e+18,2279557290.166974,-3.872854973055935e+21
US-xNQ,0.0017305833594301,0.0416002807614338,0.0608212340757122
US-xRM,0.0023919532850753,0.0489075994613858,0.6559978693650894
US-xSB,0.0010541729348003,0.0324680294258887,0.8458371249901069
US-xSE,0.0022279059459332,0.0472006985746321,0.6659316271277693
US-xSR,0.001016582970675,0.0318838982979668,0.3583371741950446
US-xST,0.0045036184749629,0.0671090044253593,0.7286067277762034
US-xTA,0.0008332142334593,0.0288654505154408,0.8215887998834861
US-xTR,0.0037335055067985,0.0611024181747212,0.6333129395481047
US-xUK,0.0013466975144053,0.0366973774867546,0.7746152218989668
US-xUN,0.00380798843489,0.061708900775253,0.6254601799773453
US-xYE,0.0012549462683852,0.0354252207951519,0.6422068136053889
ZM-Mon,0.0022170736803827,0.0470858118798304,0.7235732816472764
