site,ensemble_mse_scaled,full_mse_scaled,O_hat_count,ensemble_rmse,full_rmse
GL-ZaH,0.0034945842034773,0.0034024203,52,0.0591150082760486,0.0583302691576166
IL-Yat,0.0022537623711048,0.0022738753,52,0.0474738072109747,0.0476851685537547
IT-BCi,0.0044980421403321,0.004618494,52,0.0670674447130058,0.0679595026467969
IT-BFt,0.0012756673590654,0.0012788661,52,0.0357164858162921,0.0357612373946987
IT-CA1,0.0042289986925335,0.0046756174,52,0.0650307518988785,0.0683784863827797
IT-CA2,0.0024484941356546,0.0023961242,52,0.0494822608179395,0.0489502216542479
IT-CA3,0.0323744373061836,0.032514963,52,0.1799289785059193,0.1803190588928414
IT-Col,0.0021229441940549,0.0021411662,52,0.0460754185445439,0.0462727371137692
IT-Cp2,0.0054141692844354,0.0055334577,52,0.0735810388920637,0.0743872146272462
IT-Cpz,0.0036643631134157,0.0036854495,52,0.0605339831286171,0.0607079031098917
IT-Isp,0.0018466948381422,0.0018120139,52,0.0429731874328888,0.0425677565770149
IT-La2,0.0012426784687822,0.0012352702,52,0.0352516449088861,0.0351464109120689
IT-Lav,0.0022217524807223,0.002220035,52,0.0471354694547778,0.04711724737291
IT-Lsn,0.0035479839217096,0.0036060226,52,0.0595649554831496,0.0600501673602996
IT-MBo,0.0015660227140758,0.0015764198,52,0.0395730048653851,0.0397041534351256
IT-Noe,0.0023957453054644,0.0024934344,52,0.0489463512987883,0.0499343008361987
IT-PT1,0.0043389664678127,0.0044460283,52,0.0658708316921283,0.0666785445252069
IT-Ren,0.001619818661354,0.0016478376,52,0.0402469708345112,0.0405935659926545
IT-Ro1,0.0035151443290096,0.0035665643,52,0.0592886526159061,0.0597207191852208
IT-Ro2,0.002392773382711,0.0024877912,52,0.0489159828962988,0.0498777625801318
IT-SR2,0.0020155461152483,0.0020640776,52,0.0448948339483319,0.0454321207957541
IT-SRo,0.0026857771349237,0.002672246,52,0.0518244839330185,0.051693771384955
IT-Tor,0.0004376264085697,0.00044140095,52,0.0209195221878918,0.021009544259693
JP-SMF,0.0056836719769946,0.0057697752,52,0.0753901318276775,0.0759590363288002
MX-Tes,0.0011180805589798,0.0011309041,52,0.0334377116289347,0.0336289176156474
MY-PSO,0.0039433461973262,0.0039536348,52,0.0627960683269757,0.062877935716752
NL-Hor,0.0026477687251137,0.0026521077,52,0.0514564740835757,0.0514986184280704
NL-Loo,0.002006857246059,0.0020138973,52,0.0447979602890466,0.044876467106937
PA-SPn,0.0020814259528679,0.00207404,52,0.0456226473680331,0.0455416293077004
PA-SPs,0.0022656191447341,0.0025465002,52,0.0475985204048833,0.050462859609816
RU-Che,0.0031013019623633,0.0032461185,52,0.0556893343681112,0.0569747180774069
RU-Cok,0.0055138727406198,0.0061620143,52,0.0742554559653349,0.0784984987117588
RU-Fy2,0.0010309855302276,0.0010493502,52,0.03210896339385,0.0323936753086154
RU-Fyo,0.002342381915243,0.002320803,52,0.04839816024647011,0.04817471328404561
RU-Ha1,0.0010410715807164,0.0010435679,52,0.0322656408694512,0.032304301571153
SD-Dem,0.0029907505231412,0.0030651428,52,0.0546877547824117,0.0553637318106357
SE-Deg,0.0002414994602894,0.00022658252,52,0.0155402529030064,0.0150526582370025
SE-Htm,0.0019605068547663,0.0019425295,52,0.0442776112134146,0.0440741364067408
SE-Lnn,0.0016703639970637,0.0017476149,52,0.0408700868247634,0.0418044842092328
SE-Nor,0.0009869710829162,0.0009948054,52,0.0314160959209797,0.0315405358229691
SE-Ros,0.0008091542748018,0.0008106819,52,0.0284456371839654,0.0284724761831492
SE-Svb,0.0014480424912509,0.0014781685,52,0.0380531534994263,0.0384469569667093
SJ-Adv,0.00010689611116,0.00010346008,52,0.0103390575566634,0.0101715328245058
US-A32,0.0021417108233105,0.0021903056,52,0.0462786216660619,0.0468007008494531
US-AR1,0.0008600430768528,0.0008745852,52,0.0293264910422778,0.0295733866846528
US-AR2,0.0015056313019582,0.0015295071,52,0.0388024651531085,0.0391089133063039
US-ARM,0.0019888401143741,0.0019829362,52,0.0445964136940864,0.0445301717939645
US-ARb,0.0060533581809324,0.0059407977,52,0.0778033301403763,0.0770765703699898
US-ARc,0.0070584938708679,0.006925942,52,0.0840148431580271,0.0832222446224565
US-Atq,0.0029610616398778,0.0030287663,52,0.0544156378247815,0.0550342284401262
US-BZB,0.0003638970494687,0.00036877603,52,0.0190760858005173,0.0192035421211817
US-BZF,0.0007242086316871,0.0007363635,52,0.0269111246826865,0.027136018499404
US-BZS,0.0012907220737801,0.0012949291,52,0.0359266206841125,0.0359851233150589
US-BZo,0.0013334640778307,0.001355845,52,0.0365166274158868,0.0368218006077921
US-Bi1,0.0096230733938023,0.009578444,52,0.0980972649659627,0.0978695253896737
US-Bi2,0.002400123078795,0.0023183036,52,0.0489910510072503,0.048148765300888
US-Blo,0.0020945201953335,0.0021173223,52,0.0457659283237377,0.0460143705813738
US-CF1,0.0019211845071075,0.0019589982,52,0.0438313187927023,0.044260571618541
US-CF2,0.0028040442134629,0.0029216153,52,0.0529532266577108,0.0540519685117942
US-CF3,9.682591049911516e-05,9.719881e-05,52,0.0098400157773814,0.0098589456839968
US-CF4,0.0033500643442601,0.0032962642,52,0.0578797403610287,0.0574131012923008
US-CRT,0.0135930316022028,0.014301385,52,0.1165891573097721,0.1195883982667215
US-CS1,0.0001945836245542,0.0005533963,52,0.013949323444318,0.0235243767186295
US-CS3,0.0007630824877997,0.00077789655,52,0.0276239477229396,0.0278907968692183
US-CS4,0.0001268779408565,0.00012788152,52,0.01126401086898,0.0113084711610367
US-EDN,0.0028363482361237,0.002947985,52,0.0532573772929506,0.0542953497087918
