site,mse,r2,relative_error,mae,rmse
AU-Wac,0.004683824482641352,-0.010664016627049966,1.2194990269312667,0.0523569528693768,0.0684384722407021
AU-Whr,0.005982506895903697,-0.00240608744207238,1.0684561261014247,0.06797219865251201,0.07734666699932
AU-Wom,0.02573292707554351,-0.0003366544119169923,1.039228290896506,0.13720123031991666,0.1604148592728975
AU-Ync,0.005240788358141501,-0.01970526158188335,1.5199299194524412,0.03946112018073348,0.07239328945518017
BE-Bra,0.0031468363991067135,-0.00045775339500586654,1.0441705756161581,0.0420726660413,0.05609667012494336
BE-Dor,0.014678171009490804,-0.00045031578289767005,1.0432894915702056,0.09854069983784419,0.12115350184576096
BE-Lcr,0.009705100845258106,-0.0007772758255066847,1.0500107231762077,0.07560980314167189,0.09851447023284501
BE-Lon,0.01395834200439232,-0.002665844967215225,1.45492500503182,0.07756070885088115,0.11814542735287016
BE-Maa,0.00989262919369566,-0.0006233030306879161,1.019115649383474,0.07284439542192263,0.09946169711851724
BE-Vie,0.013267087997523252,0.00024491055688902197,1.00723785202168,0.09015338797714208,0.11518284593429376
BR-Npw,0.004964680624342358,-2.2292833040893356e-05,1.048370127955974,0.0572500720785168,0.07046048981054814
BR-Sa3,0.021719113771824818,-0.0019541441819475036,1.060688027028695,0.12318175203413571,0.14737406071566603
CA-ARB,0.011559583095165336,-0.000395711109502761,1.0420928564326017,0.08058619325191045,0.107515501650531
CA-ARF,0.020185169001659238,-0.005306812628569357,1.021230740208166,0.09490830500580173,0.14207451918503627
CA-DB2,0.001435069582413012,-0.05429454182471205,1.648580889100835,0.021834414562532746,0.03788231226328472
CA-DBB,0.000161607955002481,-0.008021894013421349,1.2968605265371809,0.008917539696416071,0.012712511750337972
CA-Gro,0.006947976451794491,-0.004669078236859914,1.2367274634900738,0.06093645813524956,0.08335452268350226
CA-LP1,0.0022497635004839005,-0.003526730615143414,1.2928202712729966,0.0341895829378995,0.04743167191322588
CA-NS1,0.012932306824978932,-0.001537750645115965,0.9915922077416215,0.08642848949545083,0.11372030084808486
CA-NS2,0.009406556192484072,-0.001119942131405205,1.020709453181616,0.07298019896461592,0.09698740223598151
CA-NS3,0.010077126347266912,-0.001997735417713198,0.9933740319239687,0.06520660620282764,0.10038489103080658
CA-NS4,0.007238039353061439,-0.00024931771127811864,1.1042777362542262,0.06512782045986638,0.08507666750091614
CA-NS5,0.017854684342759095,-0.004070882657648323,1.0275600146308324,0.09461133178782542,0.13362142172106647
CA-NS6,0.012142413399420618,-0.001605357675060315,0.9914831937593904,0.07122091338060291,0.11019261953243792
CA-NS7,0.009894919553276784,-0.007059040480021261,0.9658970614372053,0.05969641557133044,0.09947321022907014
CA-Oas,0.012987147083768748,5.3906754725052686e-05,0.9936837310965762,0.07624886821972336,0.11396116480524736
CA-Obs,0.014417444067416255,-0.00021075695369487946,0.9997831846331902,0.09017833378373168,0.12007266161544124
CA-Qfo,0.0055469915242610385,-0.00014377882816263288,0.9945616591514924,0.053565119737355234,0.07447812782462404
