site,mse,r2,relative_error,mae,rmse
CA-SF1,0.002518100225142027,0.8553567169190516,1.0634162333167574,0.03560995558588512,0.0501806758139229
CA-SF2,0.004522424902517128,0.7391408540884865,3.4064049347449132,0.048809137932008785,0.06724897696260611
CA-SF3,0.0008956978679787934,0.715645623147547,2.026016779748514,0.018665240488917725,0.029928211907476087
CA-TP1,0.003288857496541335,0.7699793225201996,0.6732723456941093,0.02891282149910893,0.05734856141649357
CA-TP4,0.0014317663281041512,0.8784468541194104,1.3332585426856194,0.022747956297813288,0.03783868824502445
CA-TPD,0.0009652066511984121,0.9130042553452458,0.7742009937600481,0.01791487037548409,0.031067775124691693
CH-Aws,0.0009803188326129404,0.858001546581632,1.5032682936349964,0.01677804861437583,0.031310043637991634
CH-Cha,0.0026745575256004643,0.7715966012854315,1.7977441853429605,0.03151831945598444,0.051716124425564454
CH-Dav,0.00034475428821633026,0.7481638999089123,1.5206982914140073,0.011998839241227396,0.018567560104018253
CH-Fru,0.002251722800068114,0.7620496082338891,2.011643680726742,0.026714838758008924,0.047452321334873745
CH-Lae,0.0012402191739897396,0.7178721832977504,2.3658600422822964,0.02255935271620215,0.03521674564734424
CH-Oe1,0.007944856636113197,0.3879592424308791,2.4655616927294077,0.04508966343195124,0.0891339252816412
CH-Oe2,0.0016425149389383668,0.6251221874123366,2.6011071672806207,0.022376667717774947,0.040527952562871554
CN-Cha,0.0020110048304895593,0.9060639251229374,0.8763879125261371,0.026872974447568324,0.04484422850813201
CN-Cng,0.001499154999115299,0.8264503999679088,1.2686956550689612,0.019809198905320173,0.038718923010787616
CN-Dan,0.00144738176074062,0.8785376871176024,1.2438785583477368,0.02186557611497958,0.03804447083007753
CN-Din,0.003035077419830998,0.896369744952725,0.5338321719490741,0.03343560670521514,0.05509153673506483
CN-Du2,0.0009433341476351097,0.8204294813423315,7.662505234193165,0.018409305037822492,0.030713745255750068
CN-Du3,0.0004157345319046311,0.8884831782293864,0.4193197642615252,0.015769505941980535,0.0203895691936988
CN-Ha2,0.002267056743648192,0.9313217885011371,1.0005304419599028,0.026355481658945645,0.047613619308430985
CN-HaM,0.00035590378807979974,0.01782346876352936,0.6026045324876207,0.011596129268763052,0.01886541248104053
CN-Qia,0.0020626026787660457,0.87674987674215,0.7930036883504427,0.02722740837198045,0.04541588575340181
CN-Sw2,0.007744957163054255,0.6235739508544789,1.912091954715494,0.057023069550940206,0.08800543825840683
CZ-BK1,0.0014587495811713277,0.87527083776935,2.3606614885966044,0.02184089346856899,0.0381935803659637
CZ-BK2,0.004964562462295659,0.5977603365429013,0.8897326326144858,0.03307775654359492,0.07045965130694062
CZ-KrP,0.0020966283005201987,0.7659713757254483,1.6767590704170523,0.023941363077525524,0.04578895391380108
CZ-Lnz,0.0007299549625234854,0.9426220499374873,0.36769779536085806,0.01450610581228187,0.027017678703461653
CZ-RAJ,0.0016578892695173035,0.9135517457814024,0.7151526981104112,0.025544032220238457,0.04071718641455108
CZ-Stn,0.0008386336771589269,0.9021603286505556,0.8050259976985643,0.017006745259387505,0.028959172591062177
CZ-wet,0.001585101552675788,0.9042295642860039,1.3313918329090675,0.022616700519478533,0.039813333855327766
DE-Geb,0.00173078290497238,0.6772585765805308,3.955175921034984,0.019714227963573392,0.041602679060036264
DE-Gri,0.0015728584857913975,0.7444606236741236,2.684864692887433,0.020920878272918282,0.039659279945447795
DE-Hai,0.0026981642889746154,0.796947565067533,1.4492315604021193,0.02755698674750714,0.0519438570860368
DE-HoH,0.00111029800392445,0.9099381252370448,0.9399998199648077,0.01929672692082657,0.03332113449335797
DE-Hte,0.0007796860187237515,0.7826649620313468,4.502025368535783,0.014948240980590779,0.02792285835518548
DE-Hzd,0.0008468703829093114,0.8410693123727593,1.3790205049507056,0.018035267323531598,0.029101037488538296
DE-Kli,0.002015484228561447,0.7132931997318919,1.7700749732390626,0.021684749664043663,0.04489414470241578
DE-Lkb,0.0026968238215295056,0.8685216775617994,1.3629124476889853,0.03180490369187303,0.051930952441963794
DE-Lnf,0.0013851689430832016,0.9345052099813338,0.5887819881682663,0.020579780335921935,0.037217857851886124
DE-Obe,0.0017934320608436415,0.8352533441472157,1.025770468655696,0.02659654354170759,0.042348932227904416
DE-RuR,0.0011845615070163553,0.8670063897794633,1.410059149104952,0.01805821899420456,0.03441745933412801
DE-RuS,0.006323621429799667,0.3313005267395357,2.2859486590205864,0.0391811128275005,0.07952120113403512
DE-RuW,0.0006800513628662666,0.8455972438844456,3.7118696044911275,0.0183257550260327,0.026077794440218034
DE-Seh,0.030932460505776443,-0.9336070962801166,5.6585504603074925,0.09991355991014392,0.17587626475956453
DE-SfN,0.0025672607297216464,0.7067146582780642,1.7972858788617083,0.03446020979522257,0.050668143144599706
DE-Tha,0.0012351919171894401,0.8904962944735222,1.2287680536331729,0.021216731991865048,0.03514529722721719
DK-Fou,0.00687362759559417,0.8825056865568792,0.6328052550371875,0.05017802114434896,0.08290734343587526
DK-Gds,0.000844018397372163,0.45215930569643337,0.7622635955711365,0.014136126684035303,0.029051994722775285
DK-Skj,0.0007167319202631777,0.6921044335049262,2.1651877351571502,0.013333895995086689,0.026771849399381764
DK-Sor,0.0010505084622821261,0.9079901590941808,0.948366101817309,0.01954283414526329,0.03241154828579045
DK-Vng,0.0003008750667909144,0.7981216320980067,0.7054779692134175,0.00953060235219687,0.01734575068398351
ES-Abr,0.0016127014300875836,0.8892914141497203,1.5026153923683594,0.023927827480888522,0.040158454030099114
ES-Agu,0.005246045805787079,0.4322941720796425,2.974508524663232,0.04657422257460554,0.07242959205868192
ES-Amo,0.0030307907552186712,0.6476026283319101,3.0316629474077716,0.033418670436432915,0.05505261805962248
ES-LJu,0.002255193521542908,0.6760768268153337,3.012092097350198,0.028271834129469355,0.04748887787201239
ES-LM1,0.0008567439131369915,0.9216573536721677,1.6302281145617237,0.018589683009052952,0.029270188129511425
ES-LM2,0.0009382041062969043,0.9278577364906305,0.7957620347361286,0.019623327584348094,0.03063011763439547
ES-LgS,0.0038607923801373895,0.8260949655881284,0.8516548717789276,0.03888161345895112,0.06213527484559306
FI-Hyy,0.001557898275927761,0.9037584734771541,3.4421759068627225,0.02255737592209142,0.03947022011501533
FI-Ken,0.0016702257378577168,0.9293676304225581,0.8794386344066543,0.02483982758776879,0.040868395342339006
FI-Let,0.00043741209069477475,0.7568517803954393,0.38116915134586415,0.011253142633826266,0.020914399123445424
FI-Lom,0.0025598352529815154,0.9353673259187866,1.3042281352499774,0.02881773945920876,0.05059481448707481
FI-Qvd,0.003914743549342203,0.8104227666216297,0.6095958841654868,0.03138605201427604,0.0625679114989641
FI-Sii,0.0007772461087393102,0.9349010587844561,0.7694549758259284,0.014455402282838863,0.027879133930940363
FI-Sod,0.0008462398765890006,0.9005970151143524,1.0937300777382615,0.01651236455329062,0.029090202415744733
FI-Var,0.0035966596699184812,0.73504776848731,1.7281778554384515,0.03182884040027352,0.05997215745592684
FR-Aur,0.0008135499010823809,0.5792582264505114,1.041219436201817,0.013723707210600069,0.028522796165214605
FR-Bil,0.002151326288252528,0.8052058324413286,1.5815700589826067,0.02767930386629408,0.04638239200658509
FR-EM2,0.0018300500573621616,0.7536731950020522,2.2763719378688836,0.022387751067131766,0.04277908434459721
FR-FBn,0.0016722766108712454,0.9015003411794523,1.4710556510512591,0.02673991785637048,0.04089347883063075
FR-Fon,0.0019200041002631265,0.8120420483040875,1.5577101124770905,0.02418667059731426,0.043817851388025936
FR-Gri,0.005889011097264902,0.527883269029659,2.1455635256736105,0.03667952040675989,0.07673989247624016
FR-Hes,0.0010579418925734142,0.8867167023639237,0.9535267044760053,0.019892510269048303,0.03252601870154745
FR-LBr,0.0017180612084282364,0.8640618763978603,0.771461795889764,0.027361320386831398,0.041449501908083726
FR-LGt,0.0008344987241157729,0.843182799000513,1.7340211589898107,0.017459324926516626,0.028887691567790127
FR-Lam,0.006514309349911597,0.5450408466301707,2.74359734696076,0.041337309252235686,0.08071127151712824
FR-Mej,0.0023420125769247303,0.5887091690241804,1.583022217185612,0.024819652059010232,0.04839434447251797
FR-Pue,0.006543669448721467,0.184985269685645,6.39048067380613,0.051757753266500166,0.08089295055022698
FR-Tou,0.0018746801361368495,0.8216993555932575,0.7169608444710844,0.026924699319154772,0.04329757656193761
GF-Guy,0.003628753097457217,0.7640543522439869,1.329110104010334,0.040243861597809155,0.06023913260877199
GH-Ank,0.0014690061503872694,0.8689743584597563,0.45195995174266373,0.024539542810571604,0.03832761602796696
GL-NuF,0.004215210033578283,0.8077345286153821,1.1858205313185501,0.04106492555949083,0.0649246488906816
GL-ZaF,0.0016499984640208287,0.9282394869113572,0.7431085866327765,0.025877382825141956,0.04062017311657877
GL-ZaH,0.0024740899651019064,0.7043981339381098,1.3222443547149882,0.03194457096557182,0.04974022481957542
IL-Yat,0.002400856982547387,0.7409717898729036,2.51885833788746,0.02672358424877301,0.048998540616505985
IT-BCi,0.011213844845676757,-0.6502973051490464,27.88555730321987,0.05650548024078691,0.10589544298824552
IT-BFt,0.0011724101323916586,0.8654782104251427,1.8594022622108048,0.021028140509187342,0.03424047506083493
IT-CA1,0.004233541117190517,0.7945665841848263,1.9053951158671942,0.0387601526974435,0.06506566773030549
IT-CA2,0.0016009527356005183,-0.14065078653278995,1.4477606526720794,0.025165957258943862,0.04001190742267254
IT-CA3,0.036038207170309415,0.6109106678196352,0.6634321417896952,0.10790521942449108,0.18983731764410658
IT-Col,0.0013859786736809296,0.923018978698744,0.5442024442149255,0.02066314472890306,0.03722873451624336
IT-Cp2,0.0020073103274911865,0.8313607164486461,2.82392148270401,0.030650799793741454,0.044803016946308276
IT-Cpz,0.0038257155357283705,0.8367982079399064,1.869193332915012,0.03908611310579691,0.061852368877257806
IT-Isp,0.0015549650219273995,0.9030240246838485,1.0487010592204062,0.026366614334453614,0.039433044796558625
IT-La2,0.001170266266812165,0.7731796917430437,1.2263828534984544,0.021089513955503743,0.034209154722269375
IT-Lav,0.0022617615191099275,0.8514306618291048,1.1322802393564235,0.027361991534483706,0.04755798060378434
IT-Lsn,0.0029310262146579756,0.874076957419582,1.777352635226549,0.03096070176551816,0.05413895284042697
IT-MBo,0.0015300243039371843,0.9098075556482356,0.8215986865686924,0.022252011488788807,0.03911552510113068
IT-Noe,0.002065357998770935,0.895235701335071,1.033462672646966,0.030279940506395094,0.04544620994946592
IT-PT1,0.004459231134622111,0.8646950294056969,12.23722593676153,0.042997776071479796,0.06677747475475627
IT-Ren,0.002103266033389552,0.8610927770575885,1.1227969346194906,0.026053099198092202,0.04586137845060429
IT-Ro1,0.0009731573945849394,0.720013560301949,0.8580057920655989,0.018061444443736255,0.03119547073831295
IT-Ro2,0.0012497430983801807,0.8802193816097523,0.5565987922888548,0.021312262753628484,0.03535170573508697
IT-SR2,0.001607531890801811,0.854006164847144,0.9421973552128953,0.024194959172425454,0.040094038095480115
IT-SRo,0.00308436456919746,0.8845294899606992,0.7567785286008459,0.035699955851017345,0.05553705582039311
IT-Tor,0.0004286333900629795,0.828257556591759,1.7982843865876066,0.010657016897501871,0.020703463238380664
JP-SMF,0.005192693068397797,0.7874113631992585,2.0768196849298866,0.04493891711663558,0.07206034324368568
MX-Tes,0.0011928102330586662,0.29495521269454783,1.7783160973789225,0.015516230547657404,0.034537084895205995
MY-PSO,0.003864414090892764,0.798646954405602,1.065983637956201,0.03719645731863424,0.062164411771469086
NL-Hor,0.007774347410429929,0.7717377857265896,2.002605645218411,0.06611013900613356,0.08817225986913305
NL-Loo,0.0019530277331477287,0.8910620436136343,1.049650357536469,0.026561236056570164,0.04419307336164491
PA-SPn,0.0015852006075554748,0.8885281890624744,0.994676141740347,0.025206088491929117,0.03981457782716621
PA-SPs,0.0020325288078205037,0.9365779921878686,0.7718866753327023,0.030295665743183094,0.04508357581004976
RU-Che,0.0044485808513861705,0.5047871753449941,1.3878062907949535,0.033186735960191296,0.06669768250386343
RU-Cok,0.004280125895560197,0.8683601709745764,3.260990015684866,0.04868703340378233,0.0654226711130033
RU-Fy2,0.001010752106288343,0.9127402087807117,0.7708949723585659,0.017964886669801717,0.031792327789709626
RU-Fyo,0.0019461695110751073,0.8931706565699323,0.967321410878669,0.02454763005869697,0.04411541126494354
RU-Ha1,0.0012824135111621634,0.9044208639887942,0.41049709427748593,0.021565578028587534,0.035810801598989146
SD-Dem,0.003645510623422263,0.7158281124691618,1.9010298189045334,0.031709196852615466,0.060378064091375624
SE-Deg,0.000963424702777692,0.7722708980540625,0.5525894711383453,0.0140678548843836,0.03103908347193409
SE-Htm,0.0018272449791122722,0.8824788924934447,0.7820711648035555,0.0260564028049912,0.042746286144088264
SE-Lnn,0.0017942275239408781,0.7822023224196666,0.5530247090437387,0.01935150914954409,0.04235832295949496
SE-Nor,0.0008357945717377229,0.9193555301264552,0.5661952892942133,0.018084193690812895,0.028910111928834224
SE-Ros,0.0006097593428580679,0.95082071420447,0.571179432455319,0.014351766479326471,0.02469330562841006
