site,test_loss,mse,r2,relative_error,mae,rmse
CA-NS6,0.001730312593281269,0.001730312637661382,0.9133146053868046,0.7316676680922812,0.022140125392153227,0.04159702678871871
CA-NS7,0.0015467624180018902,0.0015467619363133261,0.8285914496889175,4.673199341816911,0.022735197376367918,0.03932889442017568
CA-Oas,0.0010892396094277501,0.0010892401063242946,0.919262458205049,0.4181901875646324,0.014942403705949755,0.033003637774104456
CA-Obs,0.001471269759349525,0.0014712700138478547,0.9260048494735615,1.8600644260242762,0.021748458637268115,0.03835713771709061
CA-Qfo,0.000682058569509536,0.0006820587661096794,0.8926934861683915,0.8553571110949941,0.01561450956722796,0.026116254825485206
CA-SF1,0.003296205308288336,0.0032962063496951633,0.8118968730627522,1.198107302700172,0.04162137583999551,0.05741259748256617
CA-SF2,0.005550922825932503,0.0055509242590963915,0.6821426588580457,2.971259218025893,0.051145090369270035,0.074504525091409
CA-SF3,0.0009476221166551113,0.0009476220737626268,0.7009948183389789,2.328771827842223,0.019507228939024113,0.030783470788113332
CA-TP1,0.003950878046452999,0.0039508803387656695,0.7241593329993893,0.727050801318905,0.03205971283986352,0.06285602865887782
CA-TP4,0.0020331109408289194,0.002033109543399178,0.8274133489104611,1.7539946557217612,0.026436565356663527,0.04509001600575429
CA-TPD,0.0011854171752929688,0.0011854177647815736,0.8933946090251259,0.8298060971638924,0.01964118235466453,0.03442989638063951
CH-Aws,0.0011821779189631343,0.0011821783197971138,0.8279364830609464,1.3345791638685527,0.01812177122099015,0.03438282012571269
CH-Cha,0.003511312184855342,0.003511312753445745,0.7003267641527331,1.9058472459569649,0.03738476917715652,0.059256330914474825
CH-Dav,0.0003637057379819453,0.0003637054304952597,0.7344516479138565,1.447195516488447,0.012324623673153233,0.019071062647248047
CH-Fru,0.0026545494329184294,0.002654548430176248,0.7192251240964533,2.0246440331175717,0.029717475843548127,0.0515223100236805
CH-Lae,0.001706044073216617,0.0017060429119153439,0.6119882451907003,2.3398186840602593,0.028058085298465076,0.04130427232037073
CH-Oe1,0.007896275259554386,0.007896273866864702,0.39306353969539265,2.023952291738999,0.04762245935556798,0.0888609805643889
CH-Oe2,0.00204175291582942,0.0020417534938371707,0.5343740189902035,3.0734831534868725,0.0250422931751918,0.04518576649606788
CN-Cha,0.002731029177084565,0.0027310281370786747,0.8721819340535555,0.999352309331509,0.030743978374944945,0.05225923972924477
CN-Cng,0.0014518367825075984,0.0014518371180535857,0.8325681254466424,1.617721458349292,0.02102944132801362,0.038102980435309595
CN-Dan,0.001572144334204495,0.0015721449236847165,0.86572141743576,1.058099342613995,0.02345199161113951,0.03965028276929077
CN-Din,0.0038846160750836134,0.003884613861850764,0.8677546640852556,0.8908892754040207,0.04159504123460535,0.062326670550020266
CN-Du2,0.0009070583619177341,0.0009070582993684158,0.8233977205234166,6.7196282808379095,0.01842722339347171,0.030117408576576035
CN-Du3,0.0004816190339624882,0.0004816189861579283,0.873424613318519,0.5022906909279597,0.017496983407758165,0.021945819332117183
CN-Ha2,0.003374227788299322,0.003374228967543617,0.8981986933642864,1.195190854598084,0.03450219909046904,0.05808811382325662
CN-HaM,0.0003774923097807914,0.00037749222490978735,-0.13117444082828045,0.6051821872396509,0.013152390846297976,0.019429159140574956
CN-Qia,0.002273696707561612,0.002273695850691079,0.8635704501492207,0.9435441467069985,0.029523992983564958,0.04768328691156975
CN-Sw2,0.018125168979167938,0.01812517011283293,0.18871982397116627,1.9414001047885705,0.08833383857048427,0.13462975196008098
CZ-BK1,0.0019338598940521479,0.001933858726333942,0.8347660066881355,3.6139001165874105,0.025854793266250505,0.043975660612820155
CZ-BK2,0.005041840020567179,0.005041842901947155,0.5924595221477429,0.9444210529323981,0.034832518094681506,0.07100593568109045
CZ-KrP,0.0027346170973032713,0.002734617568413707,0.6946379221719274,1.7826857329215051,0.028209504749178646,0.0522935710046054
CZ-Lnz,0.001030251383781433,0.0010302509436022776,0.9191832235809461,0.4310901160834917,0.01705990256991509,0.03209752239040075
CZ-RAJ,0.0024160644970834255,0.002416066098719262,0.8740371700163466,1.112968011545171,0.03079048363938241,0.049153495284865165
CZ-Stn,0.0011024378472939134,0.0011024376687903197,0.8715123266334026,0.902520473920249,0.0192763221149715,0.03320297680615881
CZ-wet,0.00202483800239861,0.002024838547856328,0.8775305145031196,1.404995329128262,0.02547425431977184,0.04499820605153419
DE-Geb,0.0024817276280373335,0.0024817260777172906,0.5375342760116251,3.2574781911060566,0.02393241497346918,0.04981692561486799
DE-Gri,0.0015377217205241323,0.0015377194617405587,0.7494292308261528,1.893109174330317,0.021483836259789113,0.03921376622744312
DE-Hai,0.0028363335877656937,0.002836335348455012,0.786567529349022,1.5572636160504785,0.028707616763692233,0.05325725629860228
DE-HoH,0.0014512180350720882,0.0014512178560355331,0.8825190664975985,0.8891846092332215,0.022374363932343523,0.03809485340614311
DE-Hte,0.0010153871262446046,0.0010153872271169051,0.7172812376974602,2.4160064248641917,0.01682665354210066,0.03186514125367884
DE-Hzd,0.0010782575700432062,0.0010782574865134578,0.7979659110508711,1.4801561517535804,0.020012633967033382,0.03283683124958098
DE-Kli,0.0023529608733952045,0.0023529596622764355,0.6655619356131081,1.686128451211266,0.023428223975043107,0.04850731555421755
DE-Lkb,0.003413407364860177,0.003413409200137544,0.8341573905610439,1.3478480467499572,0.03548531950221673,0.05842438874423544
DE-Lnf,0.002010744297876954,0.002010745565484067,0.9043365867167872,0.7211878136825787,0.024830091667003437,0.044841337686158146
DE-Obe,0.002172742271795869,0.0021727418687546465,0.8000743038202585,1.108802588120825,0.029283173342591583,0.04661267927028703
DE-RuR,0.00131696043536067,0.0013169610621400236,0.8523013517971779,1.9151605299036911,0.019809306142675353,0.03628995814464414
DE-RuS,0.008309180848300457,0.00830918026155885,0.12264781631744281,2.671805685224113,0.046259675813713444,0.09115470509830445
DE-RuW,0.0007977224886417389,0.0007977224393896943,0.818286719668118,3.1416143339055993,0.020009582078813645,0.028243980586838222
DE-Seh,0.030484523624181747,0.030484511706426843,-0.9000860135230069,5.622933564389928,0.1035978615625797,0.17459814347932467
DE-SfN,0.002522710943594575,0.002522711021390973,0.7109244430334423,1.8667557515619528,0.03242862622342871,0.05022659675302492
