site,mse,r2,relative_error,mae,rmse
CA-SF2,0.0013977484831404355,0.885038063116842,1.911285631645257,0.02343999422374454,0.037386474601658226
CA-SF3,0.0011647895646789627,0.6986763879309783,1.1950456119935542,0.01776888484405607,0.03412901353216882
CA-TP1,0.0009855699456795682,0.8913109010798561,1.2907219224237823,0.01726398006676086,0.03139378832953373
CA-TP4,0.000721007236018832,0.909217518100722,0.6948357452970718,0.015906389252054873,0.026851577905568826
CA-TPD,0.0009535937588588391,0.9225764696333671,1.700285341654018,0.018071117431667925,0.03088031345143438
CH-Aws,0.0013104377781321494,0.8333301917560464,1.6992326270737563,0.019001735685609304,0.036199969311204526
CH-Cha,0.0015432441076017069,0.8387245054212737,1.6057797469937443,0.023560850791209127,0.03928414575374787
CH-Dav,0.0005033324102964981,0.7188012889942241,1.6738974174764867,0.01294415648739008,0.022435070989334935
CH-Fru,0.000998635774600178,0.8774404165804329,1.2836670485030823,0.018000384388066396,0.03160119894244802
CH-Lae,0.0023310299525908006,0.5481061197378188,22.717181927276414,0.027197711260978044,0.048280741011202395
CH-Oe1,0.0016402337096730617,0.9176721869660304,0.8100475095522479,0.023010747504255993,0.04049979888435326
CH-Oe2,0.0009345389294263396,0.7981259705951904,2.1878902588338223,0.017226088697777933,0.030570229463095948
CN-Cha,0.0010273722579862898,0.9402353580563934,0.7343278558272124,0.018065518581785064,0.032052648221110994
CN-Cng,0.00048148846088575493,0.9309401516309392,0.8524426672302493,0.01145901463547669,0.02194284532337944
CN-Dan,0.0007722140012914737,0.9243729724011888,2.044668585896008,0.015307896364545652,0.02778873874956317
CN-Din,0.002123150398394369,0.9121300921898167,0.5402952607466353,0.027317302888623246,0.046077656172969224
CN-Du2,0.0007068266454360341,0.9003384438865387,1.1436323554715544,0.014225332732214834,0.02658621156607376
CN-Du3,0.009184481177652071,0.5597520992832868,11.188877118001296,0.03791026057204536,0.09583569886869961
CN-Ha2,0.0005742630020894849,0.968705163979152,1.484757825110347,0.013148818550841664,0.02396378522040049
CN-HaM,0.0014031011629248554,0.8951775649989396,1.1931634467758034,0.020697626510188034,0.03745799197667776
