test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,G_hat_count,O_hat_count,O_hat
FR-Gri,0.0017003780897534,0.0016960363,0.0412356410130052,0.04118296,0.524708383456435,0.5259219408035278,0.048442065135843,0.048583165,0.0220908888356351,0.022129415,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
FR-LBr,0.0014274808889671,0.0014413856,0.0377820180637187,0.037965585,0.5382776291225377,0.5337800979614258,0.0560053516443858,0.05623066,0.0251788182809189,0.025281848,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
GL-NuF,0.0001360273535133,0.0001333306,0.0116630765029362,0.0115468865,0.5169382933268312,0.5265150666236877,0.0198013902015496,0.019536326,0.0079673378610322,0.007862705,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
IT-Lav,0.0020033351165961,0.0020059005,0.0447586317551836,0.04478728,0.6100487072439058,0.6095494031906128,0.0547811312647647,0.05489794,0.0265655412089698,0.026613897,13,2,"[['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
IT-Ro2,0.0011581913347356,0.0011745006,0.0340322102534585,0.034270987,0.6556527336137635,0.6508037447929382,0.0506546131424496,0.051209386,0.0216760926514726,0.02190856,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
IT-SRo,0.0015485235140182,0.0015395029,0.0393512835117012,0.0392365,0.5751020826238733,0.5775772929191589,0.0582004827250882,0.05844916,0.0264053617969735,0.026465422,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
JP-SMF,0.000891493990764,0.000885974,0.0298578966232398,0.029765315,0.6305475907314981,0.6328351497650146,0.0469124837260611,0.046868682,0.0194892198557854,0.019462347,14,2,"[['hour', 'LAI', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'LAI', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
NL-Hor,0.001097091422458,0.0010803528,0.0331223704232955,0.03286872,0.5614222202532406,0.5681136846542358,0.0516354784858656,0.05143084,0.0218548544063522,0.021747284,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
PA-SPn,0.0016306278747296,0.0015919302,0.0403810336015517,0.039899,0.5731867078114057,0.5833157300949097,0.0641873821555259,0.06341329,0.0273639997305576,0.02703014,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
PA-SPs,0.0022032330758597,0.0021980412,0.0469386096498366,0.04688327,0.6364191982795091,0.6372759342193604,0.0754355671509194,0.0753392,0.0331806007013955,0.03317602,14,2,"[['hour', 'fPAR', 'NDWI_band7', 'EVI', 'LST_TERRA_Night'], ['hour', 'fPAR', 'NDWI_band7', 'NIRv', 'EVI', 'LST_TERRA_Night']]"
