site_id,mse,rmse,r2,relative_error,mae
CN-Du2,0.0005199467996135,0.0228023419765061,-4.851147651672363,0.0372303947806358,0.0187796037644147
CN-Du3,0.0004679833073168,0.0216329218395689,-22.36973190307617,0.0372153855860233,0.0185100380331277
CN-Ha2,0.0004306966729927,0.0207532328323271,0.1871298551559448,0.0343674384057521,0.0175366420298814
CN-HaM,0.0033004372380673,0.0574494320082225,-7.204924583435059,0.0804932713508606,0.0407218188047409
CN-Qia,0.0003696223720908,0.0192255655857198,0.7010072469711304,0.0270211454480886,0.0144118927419185
CN-Sw2,0.0010024784132838,0.031661939506035,-5.977588653564453,0.0527497641742229,0.0263074152171611
CZ-BK1,0.0013716215034946,0.0370354087799052,0.2493465542793274,0.0461385212838649,0.0249600633978843
CZ-BK2,0.0005758213228546,0.0239962772707478,0.3440874814987182,0.0345770493149757,0.0179814826697111
CZ-KrP,0.0005253286799415,0.0229200497368918,0.4725993871688843,0.0287115182727575,0.0152577385306358
CZ-Lnz,0.0016908388352021,0.0411198107388902,0.2248821854591369,0.0448173694312572,0.0249743033200502
CZ-RAJ,0.0003192250442225,0.0178668700175086,0.6938422918319702,0.0261258874088525,0.013844127766788
CZ-Stn,0.0006636275211349,0.0257609689479047,0.5682226419448853,0.0343607291579246,0.0183850042521953
CZ-wet,0.0003931390529032,0.0198277344369769,0.576270580291748,0.0275081042200326,0.0144018791615962
DE-Geb,0.0006434905808418,0.025367116131754,0.5044006109237671,0.0287122465670108,0.0155974021181464
DE-Gri,0.0006046830094419,0.0245903031588051,0.5260320901870728,0.0321663580834865,0.017236990854144
DE-Hai,0.0006834745290689,0.0261433457894913,0.5679284334182739,0.0335615128278732,0.0181589219719171
DE-HoH,0.0006211255677044,0.0249223908906115,0.6363965272903442,0.0319987051188945,0.0174362994730472
DE-Hte,0.0003582519420888,0.01892754453406,0.3370587229728699,0.028386615216732,0.0145508162677288
DE-Hzd,0.0008349952986463,0.02889628520496,0.3919209837913513,0.0384824611246585,0.0204011052846908
DE-Kli,0.000680370721966,0.0260839169214676,0.4834659695625305,0.0297347176820039,0.0161926876753568
DE-Lkb,0.0003274446644354,0.0180954321428216,-0.9268155097961426,0.0275088846683502,0.0140344565734267
DE-Lnf,0.000672238995321,0.0259275721061786,0.6110619306564331,0.0317782796919345,0.0175016187131404
DE-Obe,0.0005678888992406,0.023830419619483,0.5929444432258606,0.0322393961250782,0.0173354446887969
DE-RuR,0.0005652087857015,0.0237741200825928,0.6408053040504456,0.0296935774385929,0.0163049828261137
DE-RuS,0.001137240207754,0.0337229922716545,0.4448108673095703,0.0340700224041938,0.0194082371890544
DE-RuW,0.0008476529619656,0.0291144802798478,0.5383099913597107,0.038016453385353,0.0206566769629716
