test_site,ensemble_mse_scaled,full_mse_scaled,ensemble_rmse_scaled,full_rmse_scaled,ensemble_r2,full_r2,ensemble_relative_error,full_relative_error,ensemble_mae,full_mae,G_hat_count,O_hat_count,O_hat
US-xML,0.0004952265417331,0.0004953885419795,0.0222536860257602,0.0222573255801208,0.2343396980539197,0.2340892325656832,0.0316954606228525,0.031697305233256,0.0162592452724497,0.0162602774845618,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xNG,0.000232668293552,0.0002325789542053,0.0152534682466654,0.0152505394726021,0.1205707333195429,0.1209084142080619,0.0235961969098571,0.0235864939104433,0.0120677885064759,0.01206281566161,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xNQ,0.0004338333414406,0.0004339296695952,0.020828666338501,0.0208309786038791,-18.00188575133883,-18.006104921270516,0.0345372061217477,0.0345477608822304,0.0174399635977603,0.0174452836897444,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xRM,0.0002637029169598,0.0002638511136901,0.0162389321373005,0.0162434945036523,-0.0919740395200128,-0.0925877110869719,0.0230311564371764,0.0230341506842752,0.0117908275711187,0.0117924048271036,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xSB,0.0001301075560695,0.0001300712448461,0.0114064699214763,0.0114048781162345,0.8086016604132101,0.8086550770484396,0.0139963451435127,0.0139909757070113,0.0074340600376756,0.0074313242692148,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xSE,0.000657972348269,0.0006581073913116,0.0256509716827459,0.0256536038659603,0.5911595079760886,0.5910755970577684,0.0327746084718216,0.0327728389470613,0.0176644064635141,0.0176637672001266,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xSR,0.0004898159954386,0.0004897405212225,0.0221317869915338,0.0221300818168972,-12.574676173912628,-12.572584494481902,0.0375586783111754,0.0375715500270103,0.018961993764175,0.0189684114801454,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xST,0.0004606266194027,0.0004607821870239,0.0214622137582016,0.021465837673474,0.6570134683690707,0.6568976313840136,0.0298131680614062,0.0298160165284561,0.0158903016753395,0.0158921418345632,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xTA,0.0004172919284458,0.0004171897978834,0.0204277245048449,0.0204252245491549,0.7145834169281651,0.7146532715171736,0.0274718565832532,0.0274655755396185,0.0146619272752298,0.0146590111962416,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xTR,0.0004765529481942,0.0004766869043228,0.0218300927206973,0.0218331606581101,0.6004488518202983,0.600336540428263,0.0306521228733768,0.030655100380336,0.0161218137217319,0.0161236367877558,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xUK,0.0005354745727597,0.0005354329314702,0.0231403235232307,0.0231394237497446,0.6427081398268822,0.6427359247013782,0.0288167214086602,0.0288131221165923,0.0155528298944388,0.0155511480462539,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xUN,0.0004128641199328,0.0004129525905454,0.0203190580473808,0.020321234966052,0.6088117222587984,0.6087278964552792,0.0294656676232151,0.0294652755535106,0.0154251882858936,0.0154252916441152,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
US-xYE,0.0002480693635303,0.0002481459871753,0.0157502178883462,0.015752650163554,0.1428433559712142,0.142578597496359,0.0244910871840146,0.0244923499155809,0.0125168976392538,0.0125175387786208,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
ZM-Mon,0.0003776667911513,0.0003774034652447,0.0194336509990111,0.0194268748193004,0.6505760935823708,0.6508197273068583,0.025458255181886,0.0254486071529865,0.0137824762574995,0.0137773132050109,26,3,"[['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'hour', 'cluster'], ['vpd', 'SWdown', 'LWdown', 'SWdown_clearsky', 'LST_TERRA_Day', 'LAI', 'fPAR', 'hour', 'cluster']]"
