site,test_loss,mse,r2,relative_error,mae,rmse
CN-Cha,0.0027987645007669,0.002798763802275,0.8693634867668152,0.0918870270252227,0.0324965193867683,0.0529033429920673
CN-Cng,0.0016569164581596,0.001656916225329,0.8085627555847168,0.0978621616959571,0.0212464369833469,0.0407052375376224
CN-Dan,0.0015486374031752,0.0015486386837437,0.8702336549758911,0.0745299458503723,0.0232075918465852,0.039352748543024
CN-Din,0.0036719609051942,0.0036719604395329,0.8747278451919556,0.1034709066152572,0.0380847342312336,0.0605967044830322
CN-Du2,0.001202825224027,0.0012028247583657,0.7754497528076172,0.0596258752048015,0.0207407195121049,0.0346817634999752
CN-Du3,0.0005315970629453,0.00053159694653,0.8578894138336182,0.0604308694601058,0.0187738444656133,0.023056386038661
CN-Ha2,0.0032493423204869,0.0032493420876562,0.9016321301460266,0.0904399454593658,0.0323314853012561,0.0570029988884925
CN-HaM,0.010161692276597,0.0101616950705647,0.5222253203392029,0.3467871844768524,0.0676575005054473,0.1008052304387092
CN-Qia,0.002359767910093,0.002359768608585,0.8586549758911133,0.0781612247228622,0.0299265123903751,0.0485774502158165
CN-Sw2,0.0016414721030741,0.0016414721030741,0.0566571354866027,0.0599373281002044,0.0267167128622531,0.0405150838196277
CZ-BK1,0.0014437275240197,0.0014437267091125,0.8395317196846008,0.0416148193180561,0.0214299689978361,0.0379964038729667
CZ-BK2,0.0049986038357019,0.0049986019730567,0.5745456218719482,0.1246574372053146,0.0323692709207534,0.0707007944583892
CZ-KrP,0.0028841013554483,0.0028841027524322,0.6678770780563354,0.0509981736540794,0.0287634395062923,0.0537038445472717
CZ-Lnz,0.0014338211622089,0.0014338213950395,0.8855268955230713,0.0463602058589458,0.0198271684348583,0.0378658324480056
CZ-RAJ,0.0024273919407278,0.0024273912422358,0.873332142829895,0.0891031473875045,0.0308575443923473,0.0492685623466968
CZ-Stn,0.0011165732285007,0.0011165735777467,0.8687077760696411,0.05607346072793,0.0204662904143333,0.0334151685237884
CZ-wet,0.0021213823929429,0.0021213830914348,0.8764846920967102,0.0697237849235534,0.0256855152547359,0.0460584759712219
DE-Geb,0.0018984483322128,0.0018984479829668,0.6462205648422241,0.0472058169543743,0.0215437952429056,0.0435711815953254
DE-Gri,0.002783901290968,0.0027838982641696,0.6311806440353394,0.0556906834244728,0.0283107589930295,0.0527626611292362
DE-Hai,0.0028838485013693,0.0028838473372161,0.7723081707954407,0.0878751724958419,0.0295289661735296,0.053701464086771
DE-HoH,0.0016517000040039,0.0016517002368345,0.865786612033844,0.05816500633955,0.0231793504208326,0.040641114115715
DE-Hte,0.0007031434797681,0.0007031434797681,0.8030022382736206,0.0361679270863533,0.0148297324776649,0.0265168529003858
DE-Hzd,0.0019057303434237,0.0019057299941778,0.6939030885696411,0.046557180583477,0.025917550548911,0.0436546690762043
DE-Kli,0.0021285256370902,0.0021285263355821,0.6954755783081055,0.0588444769382476,0.0230517275631427,0.0461359545588493
DE-Lkb,0.0032767080701887,0.0032767083030194,0.8384435176849365,0.1124197170138359,0.0339579060673713,0.0572425387799739
DE-Lnf,0.0021338379010558,0.0021338383667171,0.8979707360267639,0.0889854580163955,0.0257752146571874,0.0461934879422187
DE-Obe,0.0026840164791792,0.0026840178761631,0.7609213590621948,0.0837694257497787,0.0318501777946949,0.0518075078725814
DE-RuR,0.0015103976475074,0.0015103968326002,0.8294439315795898,0.0393131487071514,0.0215544328093528,0.0388638228178024
DE-RuS,0.0073919389396905,0.0073919398710131,0.2338737249374389,0.1568732261657714,0.0447848998010158,0.0859763920307159
DE-RuW,0.0008221960160881,0.0008221959578804,0.8016167879104614,0.05106757953763,0.0211844909936189,0.0286739598959684
DE-Seh,0.0265129171311855,0.0265129171311855,-0.6750587224960327,0.4394566416740417,0.0934766456484794,0.1628278791904449
DE-SfN,0.0029437176417559,0.0029437192715704,0.6640914678573608,0.0795321017503738,0.0369295477867126,0.0542560517787933
DE-Tha,0.0018988865194842,0.0018988888477906,0.860421359539032,0.0610197223722934,0.0255535710602998,0.0435762405395507
DK-Fou,0.0336641259491443,0.0336641296744346,0.4107090830802917,0.3429975509643554,0.108680173754692,0.1834778785705566
DK-Gds,0.0009269660222344,0.000926965905819,0.3993721008300781,0.0994848385453224,0.0166432633996009,0.0304461140185594
DK-Skj,0.0007958116475492,0.0007958116475492,0.6547972559928894,0.0501630119979381,0.0156629104167222,0.0282101333141326
DK-Sor,0.0171102732419967,0.0171103104948997,0.0649051666259765,0.131776362657547,0.0457081906497478,0.1308063864707946
DK-Vng,0.0006053391844034,0.0006053393008187,0.6623649597167969,0.0540323667228221,0.0142873274162411,0.0246036443859338
ES-Abr,0.002670717658475,0.0026707181241363,0.8131641745567322,0.0727146118879318,0.0282696653157472,0.0516789928078651
ES-Agu,0.0051931906491518,0.0051931920461356,0.3802827596664428,0.1399665474891662,0.0466725379228591,0.0720638036727905
ES-Amo,0.0031080963090062,0.0031080958433449,0.6406203508377075,0.1213400959968566,0.0341466888785362,0.055750299245119
ES-LJu,0.0026077795773744,0.0026077795773744,0.658396303653717,0.0757084116339683,0.0311345905065536,0.0510664246976375
ES-LM1,0.0014470386086031,0.0014470394235104,0.8741120100021362,0.0506353341042995,0.0224156491458416,0.0380399711430072
ES-LM2,0.0012376060476526,0.0012376067461445,0.905823051929474,0.0575248524546623,0.0226276069879531,0.0351796336472034
ES-LgS,0.0058374186046421,0.0058374190703034,0.7263769507408142,0.118922010064125,0.0502285733819007,0.0764030069112777
FI-Hyy,0.0025105043314397,0.0025105029344558,0.8478914499282837,0.1042375788092613,0.0308804493397474,0.0501049198210239
FI-Ken,0.0023465640842914,0.0023465647827833,0.9013074636459352,0.1106116250157356,0.0286796241998672,0.0484413541853427
FI-Let,0.0291113834828138,0.0291113872081041,-6.3126373291015625,0.2787717878818512,0.13511723279953,0.1706205904483795
FI-Lom,0.0040693148039281,0.0040693138726055,0.8968753814697266,0.1326047033071518,0.0355412848293781,0.0637911707162857
FI-Qvd,0.0054231123067438,0.0054231155663728,0.736871600151062,0.1486949920654297,0.0414347164332866,0.0736418068408966
FI-Sii,0.0011640584561973,0.0011640578741207,0.9020377397537231,0.0633416622877121,0.0173096377402544,0.034118290990591
FI-Sod,0.0011500277323648,0.0011500286636874,0.8627950549125671,0.05021957680583,0.0204827580600976,0.0339120738208293
FI-Var,0.0027488775085657,0.0027488761115819,0.7187443971633911,0.0929984748363494,0.0275835897773504,0.052429724484682
FR-Aur,0.0012871398357674,0.0012871392536908,0.5922844409942627,0.0508723519742488,0.0193814020603895,0.0358767248690128
FR-Bil,0.0024234857410192,0.0024234850425273,0.7793442010879517,0.0678675919771194,0.0299528166651725,0.0492289029061794
FR-EM2,0.0032176885288208,0.0032176889944821,0.5688195824623108,0.1103704050183296,0.0300037395209074,0.0567246787250041
FR-FBn,0.0022571154404431,0.0022571173030883,0.8671081066131592,0.06494652479887,0.030855193734169,0.047509130090475
FR-Fon,0.0020749405957758,0.0020749387331306,0.7970154285430908,0.0669653266668319,0.0254753343760967,0.0455514937639236
FR-Gri,0.0069270767271518,0.0069270734675228,0.5277540683746338,0.2089576870203018,0.0435555502772331,0.0832290425896644
FR-Hes,0.0015147718368098,0.0015147721860557,0.840232253074646,0.0611469633877277,0.0230872798711061,0.0389200747013092
FR-LBr,0.0031401393935084,0.0031401414889842,0.7825260758399963,0.1007601916790008,0.0360714346170425,0.056036964058876
FR-LGt,0.0012158704921603,0.0012158706085756,0.8228095173835754,0.0527963638305664,0.0223220847547054,0.034869335591793
