site_left_out,mse_scaled,r2_scaled,relative_error,mae_scaled,rmse_scaled
ES-LgS,0.0127083305,0.1403530240058899,inf,0.0974231,0.11273123
FI-Hyy,0.010831365,0.2797836661338806,inf,0.09756544,0.104073845
FI-Ken,0.002192304,0.8236725330352783,inf,0.037806246,0.046822045
FI-Let,0.011679366,-1.16449236869812,inf,0.10263005,0.10807112
FI-Lom,0.025655415,-0.6287662982940674,inf,0.1530986,0.16017307
FI-Qvd,0.005740068,0.775825023651123,inf,0.053541988,0.07576323
FI-Sii,0.02898947,-0.7467063665390015,inf,0.16076882,0.17026295
FI-Sod,0.0014845853,0.8036435842514038,inf,0.027768018,0.038530316
FI-Var,0.022839267,-3.6711506843566895,inf,0.1466575,0.15112665
FR-Aur,0.0044244262,-0.0765935182571411,inf,0.057582937,0.06651636
FR-Bil,0.005710546,0.4619832038879394,inf,0.05366964,0.075568154
FR-EM2,0.013564205,-0.5487138032913208,inf,0.10629598,0.116465464
FR-FBn,0.00730975,0.4379504919052124,inf,0.05681294,0.085497074
FR-Fon,0.0036913236,0.5820174813270569,inf,0.048446476,0.060756262
FR-Gri,0.009709551,-0.0302406549453735,inf,0.087183625,0.09853706
FR-Hes,0.001970404,0.8187551498413086,inf,0.03020635,0.044389233
FR-LBr,0.0027923554,0.747921347618103,inf,0.03680104,0.052842744
FR-LGt,0.0018012316,0.735983669757843,inf,0.031868573,0.04244092
FR-Lam,0.0045177266,0.0857839584350586,inf,0.05723872,0.067214034
FR-Mej,0.011896315,-0.2277401685714721,inf,0.0969332,0.10907023
FR-Pue,0.018917417,0.0225882530212402,inf,0.12571092,0.13754061
FR-Tou,0.0026184337,0.7566710114479065,inf,0.033668958,0.051170632
GF-Guy,0.0049249516,0.6536751985549927,inf,0.055542134,0.070178
GH-Ank,0.0060486137,0.4111533164978027,inf,0.06220104,0.07777283
GL-NuF,0.02226105,-0.9024817943572998,inf,0.14123383,0.14920138
GL-ZaF,0.038159896,-0.3188982009887695,inf,0.1849192,0.19534558
GL-ZaH,0.007090089,0.4814794063568115,inf,0.06603593,0.08420266
IL-Yat,0.010045231,-0.0175884962081909,inf,0.0921009,0.1002259
IT-BCi,0.005103414,0.2817065119743347,inf,0.046290413,0.071438186
IT-BFt,0.00509976,0.268018901348114,inf,0.059987415,0.0714126
IT-CA1,0.027622465,-0.6010907888412476,inf,0.15591124,0.16620007
IT-CA2,0.014215027,-0.1076685190200805,inf,0.10869334,0.11922679
IT-CA3,0.030905843,-1.3352973461151123,inf,0.16598907,0.17580058
IT-Col,0.0066483845,0.532221794128418,inf,0.07207985,0.08153763
IT-Cp2,0.0159976,-1.1163127422332764,inf,0.11507234,0.12648162
IT-Cpz,0.0042538797,0.7530943751335144,inf,0.053145166,0.06522177
IT-Isp,0.015976379,0.2335939407348632,inf,0.118456855,0.1263977
IT-La2,0.0060531753,0.6342949867248535,inf,0.049734082,0.07780215
IT-Lav,0.0041422714,0.6149353981018066,inf,0.054677896,0.06436048
IT-Lsn,0.006109656,0.4916955232620239,inf,0.067999296,0.07816429
IT-MBo,0.0017951292,0.8386965394020081,inf,0.026939943,0.042368963
IT-Noe,0.027579587,-0.5987374782562256,inf,0.15397425,0.16607103
IT-PT1,0.0063211615,0.6785830855369568,inf,0.06895608,0.079505734
IT-Ren,0.0024499355,0.612460732460022,inf,0.041891642,0.049496822
